Item,SKU,Categoria,Itens vendidos,Vendas brutas,Itens reembolsados,Reembolsos,Descontos,Vendas líquidas,Custo das mercadorias,Lucro bruto,Margem,Impostos
Bata infantil,10001,Roupas,1.000,45.00,0.000,0.00,0.00,45.00,18.00,27.00,60.00%,0.00
Body,10003,Roupas,3.000,105.00,0.000,0.00,0.00,105.00,43.50,61.50,58.57%,0.00
Body conjunto,10004,Roupas,1.000,60.00,0.000,0.00,0.00,60.00,27.50,32.50,54.17%,0.00
Bolsa 55,10020,Bolsas,1.000,55.00,0.000,0.00,0.00,55.00,22.00,33.00,60.00%,0.00
Bolsa kit 125,10039,Bolsas,2.000,250.00,0.000,0.00,0.00,250.00,110.00,140.00,56.00%,0.00
Caneca louça,10030,Outros,8.000,280.00,0.000,0.00,0.00,280.00,116.00,164.00,58.57%,0.00
Caneca Ágata 20,10028,Outros,3.000,60.00,0.000,0.00,0.00,60.00,30.00,30.00,50.00%,0.00
Canga elastano,10005,Roupas,5.000,275.00,0.000,0.00,0.00,275.00,100.00,175.00,63.64%,0.00
Carteira alça,10023,Bolsas,2.000,30.00,0.000,0.00,0.00,30.00,10.00,20.00,66.67%,0.00
Chaveiro ímã 10,10034,Outros,29.000,290.00,0.000,0.00,0.00,290.00,145.00,145.00,50.00%,0.00
Ecobag,10025,Bolsas,5.000,125.00,0.000,0.00,0.00,125.00,50.00,75.00,60.00%,0.00
Imã 15,10035,Outros,19.000,285.00,0.000,0.00,0.00,285.00,95.00,190.00,66.67%,0.00
Necessaire,10026,Bolsas,7.000,140.00,0.000,0.00,0.00,140.00,56.00,84.00,60.00%,0.00
Oxe adulto,10010,Roupas,1.000,60.00,0.000,0.00,0.00,60.00,25.95,34.05,56.75%,0.00
Oxe infantil,10011,Roupas,1.000,55.00,0.000,0.00,0.00,55.00,20.90,34.10,62.00%,0.00
Placa,10019,Outros,16.000,320.00,0.000,0.00,0.00,320.00,96.00,224.00,70.00%,0.00
Placa kit 100,10038,Outros,5.000,500.00,0.000,0.00,0.00,500.00,180.00,320.00,64.00%,0.00
Porta lingerie,10027,Bolsas,4.000,100.00,0.000,0.00,0.00,100.00,34.00,66.00,66.00%,0.00
Regional adulto,10014,Roupas,6.000,330.00,0.000,0.00,0.00,330.00,147.00,183.00,55.45%,0.00
Regional infantil,10015,Roupas,1.000,45.00,0.000,0.00,0.00,45.00,22.00,23.00,51.11%,0.00
