Data,Vendas brutas,Reembolsos,Descontos,Vendas líquidas,Custo das mercadorias,Lucro bruto,Margem,Impostos
21/04/2026,3965.00,0.00,0.00,3965.00,1817.30,2147.70,54.17%,0.00
20/04/2026,5450.00,0.00,0.00,5450.00,2525.90,2924.10,53.65%,0.00
19/04/2026,3790.00,0.00,0.00,3790.00,1741.50,2048.50,54.05%,0.00
18/04/2026,3485.00,0.00,0.00,3485.00,1500.40,1984.60,56.95%,0.00
17/04/2026,3885.00,0.00,0.00,3885.00,1728.85,2156.15,55.50%,0.00
16/04/2026,2695.00,0.00,0.00,2695.00,1237.50,1457.50,54.08%,0.00
15/04/2026,2805.00,0.00,0.00,2805.00,1234.50,1570.50,55.99%,0.00
14/04/2026,2390.00,0.00,0.00,2390.00,1077.30,1312.70,54.92%,0.00
13/04/2026,2470.00,0.00,0.00,2470.00,1147.00,1323.00,53.56%,0.00
12/04/2026,965.00,0.00,0.00,965.00,537.50,427.50,44.30%,0.00
11/04/2026,4520.00,0.00,0.00,4520.00,2041.25,2478.75,54.84%,0.00
10/04/2026,5350.00,0.00,0.00,5350.00,2374.20,2975.80,55.62%,0.00
09/04/2026,2685.00,0.00,0.00,2685.00,1217.50,1467.50,54.66%,0.00
08/04/2026,1805.00,0.00,0.00,1805.00,827.00,978.00,54.18%,0.00
07/04/2026,730.00,0.00,0.00,730.00,328.45,401.55,55.01%,0.00
06/04/2026,790.00,0.00,0.00,790.00,386.00,404.00,51.14%,0.00
05/04/2026,2490.00,0.00,0.00,2490.00,1139.95,1350.05,54.22%,0.00
04/04/2026,3920.00,0.00,0.00,3920.00,1904.85,2015.15,51.41%,0.00
03/04/2026,4645.00,0.00,0.00,4645.00,2183.20,2461.80,53.00%,0.00
02/04/2026,2015.00,0.00,0.00,2015.00,905.80,1109.20,55.05%,0.00
01/04/2026,695.00,0.00,0.00,695.00,283.00,412.00,59.28%,0.00
