Item,SKU,Categoria,Itens vendidos,Vendas brutas,Itens reembolsados,Reembolsos,Descontos,Vendas líquidas,Custo das mercadorias,Lucro bruto,Margem,Impostos
Bolsa 55,10020,Bolsas,2.0,110.0,0.0,0.0,0.0,110.0,44.0,66.0,60.00%,0.0
Bolsinha 15,10022,Bolsas,1.0,20.0,0.0,0.0,0.0,20.0,8.0,12.0,60.00%,0.0
Boneca,10032,Outros,1.0,30.0,0.0,0.0,0.0,30.0,13.0,17.0,56.67%,0.0
Canga elastano,10005,Roupas,1.0,55.0,0.0,0.0,0.0,55.0,20.0,35.0,63.64%,0.0
Carteira alça,10023,Bolsas,1.0,15.0,0.0,0.0,0.0,15.0,5.0,10.0,66.67%,0.0
Chaveiro ímã 10,10034,Outros,4.0,40.0,0.0,0.0,0.0,40.0,20.0,20.0,50.00%,0.0
Ecobag,10025,Bolsas,2.0,50.0,0.0,0.0,0.0,50.0,20.0,30.0,60.00%,0.0
Imã 15,10035,Outros,6.0,90.0,0.0,0.0,0.0,90.0,90.0,0.0,0.00%,0.0
Necessaire,10026,Bolsas,1.0,20.0,0.0,0.0,0.0,20.0,20.0,0.0,0.00%,0.0
Placa,10019,Outros,2.0,40.0,0.0,0.0,0.0,40.0,12.0,28.0,70.00%,0.0
Placa kit 100,10038,Outros,1.0,100.0,0.0,0.0,0.0,100.0,36.0,64.0,64.00%,0.0
Regional adulto,10014,Roupas,4.0,220.0,0.0,0.0,0.0,220.0,98.0,122.0,55.45%,0.0
