Item,SKU,Categoria,Itens vendidos,Vendas brutas,Itens reembolsados,Reembolsos,Descontos,Vendas líquidas,Custo das mercadorias,Lucro bruto,Margem,Impostos
Body,10003,Roupas,1.0,35.0,0.0,0.0,0.0,35.0,14.5,20.5,58.57%,0.0
Bolsa kit 125,10039,Bolsas,1.0,125.0,0.0,0.0,0.0,125.0,55.0,70.0,56.00%,0.0
Caneca Ágata 30,10029,Outros,1.0,30.0,0.0,0.0,0.0,30.0,15.0,15.0,50.00%,0.0
Canga elastano,10005,Roupas,4.0,220.0,0.0,0.0,0.0,220.0,80.0,140.0,63.64%,0.0
Canga viscose,10006,Roupas,1.0,65.0,0.0,0.0,0.0,65.0,25.0,40.0,61.54%,0.0
Carteira alça,10023,Bolsas,4.0,60.0,0.0,0.0,0.0,60.0,20.0,40.0,66.67%,0.0
Chaveiro 5,10033,Outros,5.0,25.0,0.0,0.0,0.0,25.0,5.0,20.0,80.00%,0.0
Chaveiro ímã 10,10034,Outros,16.0,160.0,0.0,0.0,0.0,160.0,80.0,80.0,50.00%,0.0
Color 60,10007,Roupas,1.0,60.0,0.0,0.0,0.0,60.0,22.5,37.5,62.50%,0.0
Color XG 65,10008,Roupas,1.0,65.0,0.0,0.0,0.0,65.0,25.5,39.5,60.77%,0.0
Ecobag,10025,Bolsas,3.0,75.0,0.0,0.0,0.0,75.0,30.0,45.0,60.00%,0.0
Embalagem presente 5,10036,Outros,2.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,0.00%,0.0
Imã 15,10035,Outros,3.0,45.0,0.0,0.0,0.0,45.0,45.0,0.0,0.00%,0.0
Necessaire,10026,Bolsas,7.0,140.0,0.0,0.0,0.0,140.0,140.0,0.0,0.00%,0.0
Oxe conjunto,10012,Roupas,1.0,80.0,0.0,0.0,0.0,80.0,37.5,42.5,53.13%,0.0
Placa,10019,Outros,9.0,180.0,0.0,0.0,0.0,180.0,54.0,126.0,70.00%,0.0
Placa kit 100,10038,Outros,4.0,400.0,0.0,0.0,0.0,400.0,144.0,256.0,64.00%,0.0
Regional adulto,10014,Roupas,10.0,550.0,0.0,0.0,0.0,550.0,245.0,305.0,55.45%,0.0
Saída praia,10016,Roupas,1.0,65.0,0.0,0.0,0.0,65.0,29.3,35.7,54.92%,0.0
