Item,SKU,Categoria,Itens vendidos,Vendas brutas,Itens reembolsados,Reembolsos,Descontos,Vendas líquidas,Custo das mercadorias,Lucro bruto,Margem,Impostos
Bata adulto,10000,Roupas,19.000,1140.00,0.000,0.00,0.00,1140.00,562.00,578.00,50.70%,0.00
Bata infantil,10001,Roupas,11.000,485.00,0.000,0.00,0.00,485.00,242.00,243.00,50.10%,0.00
Bata XG 65,10002,Roupas,3.000,195.00,0.000,0.00,0.00,195.00,81.00,114.00,58.46%,0.00
Body,10003,Roupas,61.000,2135.00,0.000,0.00,0.00,2135.00,966.50,1168.50,54.73%,0.00
Body conjunto,10004,Roupas,4.000,240.00,0.000,0.00,0.00,240.00,110.00,130.00,54.17%,0.00
Bolsa 55,10020,Bolsas,21.000,1155.00,0.000,0.00,0.00,1155.00,462.00,693.00,60.00%,0.00
Bolsa kit 125,10039,Bolsas,82.000,10250.00,0.000,0.00,0.00,10250.00,5420.00,4830.00,47.12%,0.00
Bolsinha 15,10021,Bolsas,16.000,240.00,0.000,0.00,0.00,240.00,96.00,144.00,60.00%,0.00
Bolsinha 20,10022,Bolsas,10.000,200.00,0.000,0.00,0.00,200.00,104.00,96.00,48.00%,0.00
Boneca,10032,Outros,21.000,630.00,0.000,0.00,0.00,630.00,324.00,306.00,48.57%,0.00
Boné,10031,Outros,2.000,120.00,0.000,0.00,0.00,120.00,56.00,64.00,53.33%,0.00
Caneca louça,10030,Outros,148.000,5180.00,0.000,0.00,0.00,5180.00,2535.50,2644.50,51.05%,0.00
Caneca Ágata 20,10028,Outros,99.000,1980.00,0.000,0.00,0.00,1980.00,1100.00,880.00,44.44%,0.00
Caneca Ágata 30,10029,Outros,16.000,480.00,0.000,0.00,0.00,480.00,255.00,225.00,46.88%,0.00
Canga elastano,10005,Roupas,104.000,5720.00,0.000,0.00,0.00,5720.00,2955.00,2765.00,48.34%,0.00
Canga viscose,10006,Roupas,35.000,2275.00,0.000,0.00,0.00,2275.00,1035.00,1240.00,54.51%,0.00
Carteira alça,10023,Bolsas,149.000,2235.00,0.000,0.00,0.00,2235.00,1015.00,1220.00,54.59%,0.00
Chaveiro 5,10033,Outros,48.000,240.00,0.000,0.00,0.00,240.00,68.00,172.00,71.67%,0.00
Chaveiro ímã 10,10034,Outros,1000.000,10000.00,0.000,0.00,0.00,10000.00,5570.00,4430.00,44.30%,0.00
Color 60,10007,Roupas,51.000,3060.00,0.000,0.00,0.00,3060.00,1260.00,1800.00,58.82%,0.00
Color XG 65,10008,Roupas,12.000,780.00,0.000,0.00,0.00,780.00,345.50,434.50,55.71%,0.00
Ecobag,10025,Bolsas,152.000,3800.00,0.000,0.00,0.00,3800.00,1745.00,2055.00,54.08%,0.00
Embalagem presente 10,10037,Outros,6.000,60.00,0.000,0.00,0.00,60.00,60.00,0.00,0.00%,0.00
Embalagem presente 5,10036,Outros,42.000,210.00,0.000,0.00,0.00,210.00,189.00,21.00,10.00%,0.00
Imã 15,10035,Outros,117.000,1755.00,0.000,0.00,0.00,1755.00,1635.00,120.00,6.84%,0.00
Macaquinho,10009,Roupas,15.000,720.00,0.000,0.00,0.00,720.00,432.00,288.00,40.00%,0.00
Necessaire,10026,Bolsas,378.000,7560.00,1.000,20.00,0.00,7540.00,7072.00,468.00,6.21%,0.00
Oxe adulto,10010,Roupas,15.000,900.00,0.000,0.00,0.00,900.00,423.30,476.70,52.97%,0.00
Oxe conjunto,10012,Roupas,24.000,1900.00,0.000,0.00,0.00,1900.00,1030.00,870.00,45.79%,0.00
Oxe infantil,10011,Roupas,13.000,715.00,0.000,0.00,0.00,715.00,339.90,375.10,52.46%,0.00
Oxe XG,10013,Roupas,3.000,195.00,0.000,0.00,0.00,195.00,95.70,99.30,50.92%,0.00
Placa,10019,Outros,425.000,8500.00,0.000,0.00,0.00,8500.00,3040.00,5460.00,64.24%,0.00
Placa kit 100,10038,Outros,76.000,7600.00,0.000,0.00,0.00,7600.00,2992.00,4608.00,60.63%,0.00
Porta lingerie,10027,Bolsas,19.000,475.00,0.000,0.00,0.00,475.00,161.50,313.50,66.00%,0.00
Regional adulto,10014,Roupas,512.000,28160.00,0.000,0.00,0.00,28160.00,14526.50,13633.50,48.41%,0.00
Regional infantil,10015,Roupas,56.000,2520.00,0.000,0.00,0.00,2520.00,1508.00,1012.00,40.16%,0.00
Saída praia,10016,Roupas,29.000,1885.00,0.000,0.00,0.00,1885.00,1028.20,856.80,45.45%,0.00
Sereia,10017,Roupas,9.000,1620.00,0.000,0.00,0.00,1620.00,860.00,760.00,46.91%,0.00
Vestido algodão,10018,Roupas,26.000,1550.00,0.000,0.00,0.00,1550.00,614.00,936.00,60.39%,0.00
