Item,SKU,Categoria,Itens vendidos,Vendas brutas,Itens reembolsados,Reembolsos,Descontos,Vendas líquidas,Custo das mercadorias,Lucro bruto,Margem,Impostos
Body,10003,Roupas,2.0,70.0,0.0,0.0,0.0,70.0,29.0,41.0,58.57%,0.0
Caneca Ágata 20,10028,Outros,2.0,40.0,0.0,0.0,0.0,40.0,20.0,20.0,50.00%,0.0
Chaveiro 5,10033,Outros,1.0,5.0,0.0,0.0,0.0,5.0,1.0,4.0,80.00%,0.0
Chaveiro ímã 10,10034,Outros,21.0,210.0,0.0,0.0,0.0,210.0,105.0,105.0,50.00%,0.0
Color 60,10007,Roupas,3.0,180.0,0.0,0.0,0.0,180.0,67.5,112.5,62.50%,0.0
Ecobag,10025,Bolsas,3.0,75.0,0.0,0.0,0.0,75.0,30.0,45.0,60.00%,0.0
Ima promoção 20 reais,10041,Sem categoria,3.0,60.0,0.0,0.0,0.0,60.0,22.5,37.5,62.50%,0.0
Imã 15,10035,Outros,1.0,15.0,0.0,0.0,0.0,15.0,5.0,10.0,66.67%,0.0
Necessaire,10026,Bolsas,4.0,80.0,0.0,0.0,0.0,80.0,32.0,48.0,60.00%,0.0
Placa,10019,Outros,5.0,100.0,0.0,0.0,0.0,100.0,30.0,70.0,70.00%,0.0
Placa kit 100,10038,Outros,2.0,200.0,0.0,0.0,0.0,200.0,72.0,128.0,64.00%,0.0
Regional adulto,10014,Roupas,8.0,440.0,0.0,0.0,0.0,440.0,196.0,244.0,55.45%,0.0
