Item,SKU,Categoria,Itens vendidos,Vendas brutas,Itens reembolsados,Reembolsos,Descontos,Vendas líquidas,Custo das mercadorias,Lucro bruto,Margem,Impostos
Bata adulto,10000,Roupas,1.000,60.00,0.000,0.00,0.00,60.00,26.00,34.00,56.67%,0.00
Body,10003,Roupas,2.000,70.00,0.000,0.00,0.00,70.00,29.00,41.00,58.57%,0.00
Bolsa 55,10020,Bolsas,1.000,55.00,0.000,0.00,0.00,55.00,22.00,33.00,60.00%,0.00
Bolsa kit 125,10039,Bolsas,2.000,250.00,0.000,0.00,0.00,250.00,110.00,140.00,56.00%,0.00
Caneca louça,10030,Outros,9.000,315.00,0.000,0.00,0.00,315.00,130.50,184.50,58.57%,0.00
Caneca Ágata 20,10028,Outros,2.000,40.00,0.000,0.00,0.00,40.00,20.00,20.00,50.00%,0.00
Carteira alça,10023,Bolsas,1.000,15.00,0.000,0.00,0.00,15.00,5.00,10.00,66.67%,0.00
Chaveiro 5,10033,Outros,5.000,25.00,0.000,0.00,0.00,25.00,5.00,20.00,80.00%,0.00
Chaveiro ímã 10,10034,Outros,11.000,110.00,0.000,0.00,0.00,110.00,55.00,55.00,50.00%,0.00
Color 60,10007,Roupas,2.000,120.00,0.000,0.00,0.00,120.00,45.00,75.00,62.50%,0.00
Ecobag,10025,Bolsas,5.000,125.00,0.000,0.00,0.00,125.00,50.00,75.00,60.00%,0.00
Embalagem presente 5,10036,Outros,2.000,10.00,0.000,0.00,0.00,10.00,10.00,0.00,0.00%,0.00
Imã 15,10035,Outros,1.000,15.00,0.000,0.00,0.00,15.00,15.00,0.00,0.00%,0.00
Necessaire,10026,Bolsas,15.000,300.00,0.000,0.00,0.00,300.00,300.00,0.00,0.00%,0.00
Oxe conjunto,10012,Roupas,2.000,160.00,0.000,0.00,0.00,160.00,75.00,85.00,53.13%,0.00
Placa,10019,Outros,11.000,220.00,0.000,0.00,0.00,220.00,66.00,154.00,70.00%,0.00
Placa kit 100,10038,Outros,1.000,100.00,0.000,0.00,0.00,100.00,36.00,64.00,64.00%,0.00
Regional adulto,10014,Roupas,19.000,1045.00,0.000,0.00,0.00,1045.00,465.50,579.50,55.45%,0.00
Regional infantil,10015,Roupas,1.000,45.00,0.000,0.00,0.00,45.00,22.00,23.00,51.11%,0.00
Saída praia,10016,Roupas,2.000,130.00,0.000,0.00,0.00,130.00,58.60,71.40,54.92%,0.00
