Item,SKU,Categoria,Itens vendidos,Vendas brutas,Itens reembolsados,Reembolsos,Descontos,Vendas líquidas,Custo das mercadorias,Lucro bruto,Margem,Impostos
Bata adulto,10000,Roupas,1.0,60.0,0.0,0.0,0.0,60.0,26.0,34.0,56.67%,0.0
Bata infantil,10001,Roupas,1.0,45.0,0.0,0.0,0.0,45.0,18.0,27.0,60.00%,0.0
Body,10003,Roupas,3.0,105.0,0.0,0.0,0.0,105.0,43.5,61.5,58.57%,0.0
Body conjunto,10004,Roupas,1.0,60.0,0.0,0.0,0.0,60.0,27.5,32.5,54.17%,0.0
Bolsa 55,10020,Bolsas,6.0,330.0,0.0,0.0,0.0,330.0,132.0,198.0,60.00%,0.0
Bolsa kit 125,10039,Bolsas,5.0,625.0,0.0,0.0,0.0,625.0,275.0,350.0,56.00%,0.0
Bolsinha 15,10022,Bolsas,1.0,15.0,0.0,0.0,0.0,15.0,8.0,7.0,46.67%,0.0
Caneca louça,10030,Outros,13.0,455.0,0.0,0.0,0.0,455.0,188.5,266.5,58.57%,0.0
Caneca Ágata 20,10028,Outros,3.0,60.0,0.0,0.0,0.0,60.0,30.0,30.0,50.00%,0.0
Canga elastano,10005,Roupas,2.0,110.0,0.0,0.0,0.0,110.0,40.0,70.0,63.64%,0.0
Carteira alça,10023,Bolsas,10.0,150.0,0.0,0.0,0.0,150.0,50.0,100.0,66.67%,0.0
Chaveiro ímã 10,10034,Outros,50.0,500.0,0.0,0.0,0.0,500.0,250.0,250.0,50.00%,0.0
Color 60,10007,Roupas,1.0,60.0,0.0,0.0,0.0,60.0,22.5,37.5,62.50%,0.0
Color XG 65,10008,Roupas,1.0,65.0,0.0,0.0,0.0,65.0,25.5,39.5,60.77%,0.0
Ecobag,10025,Bolsas,5.0,125.0,0.0,0.0,0.0,125.0,50.0,75.0,60.00%,0.0
Embalagem presente 5,10036,Outros,1.0,5.0,0.0,0.0,0.0,5.0,2.0,3.0,60.00%,0.0
Imã 15,10035,Outros,2.0,30.0,0.0,0.0,0.0,30.0,10.0,20.0,66.67%,0.0
Necessaire,10026,Bolsas,11.0,220.0,0.0,0.0,0.0,220.0,88.0,132.0,60.00%,0.0
Placa,10019,Outros,6.0,120.0,0.0,0.0,0.0,120.0,36.0,84.0,70.00%,0.0
Placa kit 100,10038,Outros,3.0,300.0,0.0,0.0,0.0,300.0,108.0,192.0,64.00%,0.0
Porta lingerie,10027,Bolsas,2.0,50.0,0.0,0.0,0.0,50.0,17.0,33.0,66.00%,0.0
Regional adulto,10014,Roupas,20.0,1100.0,0.0,0.0,0.0,1100.0,490.0,610.0,55.45%,0.0
Regional infantil,10015,Roupas,4.0,180.0,0.0,0.0,0.0,180.0,88.0,92.0,51.11%,0.0
Saída praia,10016,Roupas,2.0,130.0,0.0,0.0,0.0,130.0,58.6,71.4,54.92%,0.0
