Item,SKU,Categoria,Itens vendidos,Vendas brutas,Itens reembolsados,Reembolsos,Descontos,Vendas líquidas,Custo das mercadorias,Lucro bruto,Margem,Impostos
Bolsa 55,10020,Bolsas,1.0,55.0,0.0,0.0,0.0,55.0,22.0,33.0,60.00%,0.0
Boneca,10032,Outros,1.0,35.0,0.0,0.0,0.0,35.0,13.0,22.0,62.86%,0.0
Boneca oxe,10040,Sem categoria,1.0,50.0,0.0,0.0,0.0,50.0,26.0,24.0,48.00%,0.0
Caneca louça,10030,Outros,6.0,210.0,0.0,0.0,0.0,210.0,87.0,123.0,58.57%,0.0
Caneca Ágata 30,10029,Outros,2.0,60.0,0.0,0.0,0.0,60.0,30.0,30.0,50.00%,0.0
Carteira alça,10023,Bolsas,14.0,210.0,0.0,0.0,12.32,197.68,70.0,127.68,64.59%,0.0
Chaveiro 5,10033,Outros,1.0,5.0,0.0,0.0,0.0,5.0,1.0,4.0,80.00%,0.0
Chaveiro ímã 10,10034,Outros,21.0,210.0,0.0,0.0,11.19,198.81,105.0,93.81,47.19%,0.0
Color XG 65,10008,Roupas,1.0,65.0,0.0,0.0,0.0,65.0,25.5,39.5,60.77%,0.0
Ecobag,10025,Bolsas,2.0,50.0,0.0,0.0,0.0,50.0,20.0,30.0,60.00%,0.0
Embalagem presente 5,10036,Outros,3.0,15.0,0.0,0.0,0.0,15.0,6.0,9.0,60.00%,0.0
Ima promoção 20 reais,10041,Sem categoria,3.0,60.0,0.0,0.0,0.0,60.0,22.5,37.5,62.50%,0.0
Imã 15,10035,Outros,1.0,15.0,0.0,0.0,0.0,15.0,5.0,10.0,66.67%,0.0
Macaquinho,10009,Roupas,1.0,50.0,0.0,0.0,0.0,50.0,18.0,32.0,64.00%,0.0
Necessaire,10026,Bolsas,4.0,80.0,0.0,0.0,1.49,78.51,32.0,46.51,59.24%,0.0
Oxe adulto,10010,Roupas,2.0,120.0,0.0,0.0,0.0,120.0,51.9,68.1,56.75%,0.0
Oxe infantil,10011,Roupas,1.0,55.0,0.0,0.0,0.0,55.0,20.9,34.1,62.00%,0.0
Placa,10019,Outros,6.0,120.0,0.0,0.0,0.0,120.0,36.0,84.0,70.00%,0.0
Placa kit 100,10038,Outros,1.0,100.0,0.0,0.0,0.0,100.0,36.0,64.0,64.00%,0.0
Regional adulto,10014,Roupas,9.0,495.0,0.0,0.0,0.0,495.0,220.5,274.5,55.45%,0.0
Regional infantil,10015,Roupas,1.0,45.0,0.0,0.0,0.0,45.0,22.0,23.0,51.11%,0.0
