Item,SKU,Categoria,Itens vendidos,Vendas brutas,Itens reembolsados,Reembolsos,Descontos,Vendas líquidas,Custo das mercadorias,Lucro bruto,Margem,Impostos
Body,10003,Roupas,1.0,35.0,0.0,0.0,0.0,35.0,14.5,20.5,58.57%,0.0
Bolsa kit 125,10039,Bolsas,1.0,125.0,0.0,0.0,0.0,125.0,55.0,70.0,56.00%,0.0
Caneca Ágata 20,10028,Outros,4.0,80.0,0.0,0.0,0.0,80.0,40.0,40.0,50.00%,0.0
Caneca Ágata 30,10029,Outros,1.0,30.0,0.0,0.0,0.0,30.0,15.0,15.0,50.00%,0.0
Canga elastano,10005,Roupas,2.0,110.0,0.0,0.0,0.0,110.0,40.0,70.0,63.64%,0.0
Carteira alça,10023,Bolsas,1.0,15.0,0.0,0.0,0.0,15.0,5.0,10.0,66.67%,0.0
Chaveiro 5,10033,Outros,7.0,35.0,0.0,0.0,0.0,35.0,7.0,28.0,80.00%,0.0
Chaveiro ímã 10,10034,Outros,12.0,120.0,0.0,0.0,0.0,120.0,60.0,60.0,50.00%,0.0
Color 60,10007,Roupas,1.0,60.0,0.0,0.0,0.0,60.0,22.5,37.5,62.50%,0.0
Ecobag,10025,Bolsas,6.0,150.0,0.0,0.0,0.0,150.0,60.0,90.0,60.00%,0.0
Ima promoção 20 reais,10041,Sem categoria,1.0,20.0,0.0,0.0,0.0,20.0,7.5,12.5,62.50%,0.0
Imã 15,10035,Outros,3.0,45.0,0.0,0.0,0.0,45.0,15.0,30.0,66.67%,0.0
Macaquinho,10009,Roupas,1.0,50.0,0.0,0.0,0.0,50.0,18.0,32.0,64.00%,0.0
Necessaire,10026,Bolsas,3.0,60.0,0.0,0.0,0.0,60.0,24.0,36.0,60.00%,0.0
Oxe adulto,10010,Roupas,1.0,60.0,0.0,0.0,0.0,60.0,25.95,34.05,56.75%,0.0
Oxe infantil,10011,Roupas,1.0,55.0,0.0,0.0,0.0,55.0,20.9,34.1,62.00%,0.0
Placa,10019,Outros,14.0,280.0,0.0,0.0,0.0,280.0,84.0,196.0,70.00%,0.0
Placa kit 100,10038,Outros,6.0,600.0,0.0,0.0,0.0,600.0,216.0,384.0,64.00%,0.0
Porta lingerie,10027,Bolsas,3.0,75.0,0.0,0.0,0.0,75.0,25.5,49.5,66.00%,0.0
Regional adulto,10014,Roupas,15.0,825.0,0.0,0.0,0.0,825.0,367.5,457.5,55.45%,0.0
Regional infantil,10015,Roupas,2.0,90.0,0.0,0.0,0.0,90.0,44.0,46.0,51.11%,0.0
