Item,SKU,Categoria,Itens vendidos,Vendas brutas,Itens reembolsados,Reembolsos,Descontos,Vendas líquidas,Custo das mercadorias,Lucro bruto,Margem,Impostos
Bata adulto,10000,Roupas,1.0,60.0,0.0,0.0,0.0,60.0,26.0,34.0,56.67%,0.0
Bolsa kit 125,10039,Bolsas,3.0,375.0,0.0,0.0,0.0,375.0,165.0,210.0,56.00%,0.0
Boneca,10032,Outros,1.0,35.0,0.0,0.0,0.0,35.0,13.0,22.0,62.86%,0.0
Caneca louça,10030,Outros,2.0,70.0,0.0,0.0,0.0,70.0,29.0,41.0,58.57%,0.0
Caneca Ágata 20,10028,Outros,1.0,20.0,0.0,0.0,0.0,20.0,10.0,10.0,50.00%,0.0
Canga elastano,10005,Roupas,5.0,275.0,0.0,0.0,0.0,275.0,100.0,175.0,63.64%,0.0
Carteira alça,10023,Bolsas,4.0,60.0,0.0,0.0,0.0,60.0,20.0,40.0,66.67%,0.0
Chaveiro ímã 10,10034,Outros,6.0,60.0,0.0,0.0,0.0,60.0,30.0,30.0,50.00%,0.0
Color 60,10007,Roupas,3.0,180.0,0.0,0.0,0.0,180.0,67.5,112.5,62.50%,0.0
Embalagem presente 5,10036,Outros,7.0,35.0,0.0,0.0,1.2,33.8,14.0,19.8,58.58%,0.0
Imã 15,10035,Outros,2.0,30.0,0.0,0.0,0.0,30.0,10.0,20.0,66.67%,0.0
Necessaire,10026,Bolsas,15.0,300.0,0.0,0.0,4.8,295.2,120.0,175.2,59.35%,0.0
Oxe adulto,10010,Roupas,1.0,60.0,0.0,0.0,0.0,60.0,25.95,34.05,56.75%,0.0
Oxe conjunto,10012,Roupas,1.0,80.0,0.0,0.0,0.0,80.0,37.5,42.5,53.13%,0.0
Oxe infantil,10011,Roupas,2.0,110.0,0.0,0.0,0.0,110.0,41.8,68.2,62.00%,0.0
Placa,10019,Outros,2.0,40.0,0.0,0.0,0.0,40.0,12.0,28.0,70.00%,0.0
Placa kit 100,10038,Outros,1.0,100.0,0.0,0.0,0.0,100.0,36.0,64.0,64.00%,0.0
Regional adulto,10014,Roupas,17.0,935.0,0.0,0.0,0.0,935.0,416.5,518.5,55.45%,0.0
Regional infantil,10015,Roupas,1.0,45.0,0.0,0.0,0.0,45.0,22.0,23.0,51.11%,0.0
Saída praia,10016,Roupas,1.0,65.0,0.0,0.0,0.0,65.0,29.3,35.7,54.92%,0.0
