Item,SKU,Categoria,Itens vendidos,Vendas brutas,Itens reembolsados,Reembolsos,Descontos,Vendas líquidas,Custo das mercadorias,Lucro bruto,Margem,Impostos
Body,10003,Roupas,3.0,105.0,0.0,0.0,0.0,105.0,43.5,61.5,58.57%,0.0
Bolsa kit 125,10039,Bolsas,2.0,250.0,0.0,0.0,0.0,250.0,110.0,140.0,56.00%,0.0
Bolsinha 15,10022,Bolsas,2.0,30.0,0.0,0.0,0.0,30.0,16.0,14.0,46.67%,0.0
Caneca louça,10030,Outros,4.0,140.0,0.0,0.0,0.0,140.0,58.0,82.0,58.57%,0.0
Caneca Ágata 20,10028,Outros,3.0,60.0,0.0,0.0,0.0,60.0,30.0,30.0,50.00%,0.0
Canga viscose,10006,Roupas,2.0,130.0,0.0,0.0,0.0,130.0,50.0,80.0,61.54%,0.0
Carteira alça,10023,Bolsas,2.0,30.0,0.0,0.0,0.0,30.0,10.0,20.0,66.67%,0.0
Chaveiro 5,10033,Outros,1.0,5.0,0.0,0.0,0.0,5.0,1.0,4.0,80.00%,0.0
Chaveiro ímã 10,10034,Outros,22.0,220.0,0.0,0.0,0.0,220.0,110.0,110.0,50.00%,0.0
Color 60,10007,Roupas,1.0,60.0,0.0,0.0,0.0,60.0,22.5,37.5,62.50%,0.0
Color XG 65,10008,Roupas,1.0,65.0,0.0,0.0,65.0,0.0,25.5,-25.5,0.00%,0.0
Ecobag,10025,Bolsas,4.0,100.0,0.0,0.0,0.0,100.0,40.0,60.0,60.00%,0.0
Embalagem presente 5,10036,Outros,1.0,5.0,0.0,0.0,0.0,5.0,2.0,3.0,60.00%,0.0
Imã 15,10035,Outros,1.0,15.0,0.0,0.0,0.0,15.0,5.0,10.0,66.67%,0.0
Macaquinho,10009,Roupas,1.0,50.0,0.0,0.0,0.0,50.0,18.0,32.0,64.00%,0.0
Necessaire,10026,Bolsas,12.0,240.0,0.0,0.0,0.0,240.0,96.0,144.0,60.00%,0.0
Oxe infantil,10011,Roupas,2.0,110.0,0.0,0.0,0.0,110.0,41.8,68.2,62.00%,0.0
Placa,10019,Outros,10.0,200.0,0.0,0.0,0.0,200.0,60.0,140.0,70.00%,0.0
Regional adulto,10014,Roupas,17.0,935.0,0.0,0.0,165.0,770.0,416.5,353.5,45.91%,0.0
