Item,SKU,Categoria,Itens vendidos,Vendas brutas,Itens reembolsados,Reembolsos,Descontos,Vendas líquidas,Custo das mercadorias,Lucro bruto,Margem,Impostos
Bata adulto,10000,Roupas,17.0,1020.0,0.0,0.0,0.0,1020.0,442.0,578.0,56.67%,0.0
Bata infantil,10001,Roupas,6.0,270.0,0.0,0.0,0.0,270.0,108.0,162.0,60.00%,0.0
Body,10003,Roupas,34.0,1190.0,0.0,0.0,0.0,1190.0,493.0,697.0,58.57%,0.0
Body conjunto,10004,Roupas,2.0,120.0,0.0,0.0,0.0,120.0,55.0,65.0,54.17%,0.0
Bolsa 55,10020,Bolsas,22.0,1210.0,0.0,0.0,5.0,1205.0,484.0,721.0,59.83%,0.0
Bolsa kit 125,10039,Bolsas,71.0,8875.0,0.0,0.0,0.0,8875.0,3905.0,4970.0,56.00%,0.0
Bolsinha 12,10021,Bolsas,3.0,45.0,0.0,0.0,0.0,45.0,18.0,27.0,60.00%,0.0
Bolsinha 15,10022,Bolsas,11.0,180.0,0.0,0.0,0.0,180.0,88.0,92.0,51.11%,0.0
Boneca,10032,Outros,9.0,315.0,0.0,0.0,0.0,315.0,117.0,198.0,62.86%,0.0
Boneca oxe,10040,Sem categoria,5.0,250.0,0.0,0.0,0.0,250.0,130.0,120.0,48.00%,0.0
Boné,10031,Outros,2.0,120.0,0.0,0.0,0.0,120.0,56.0,64.0,53.33%,0.0
Caneca louça,10030,Outros,86.0,3010.0,0.0,0.0,0.0,3010.0,1247.0,1763.0,58.57%,0.0
Caneca Ágata 20,10028,Outros,56.0,1120.0,0.0,0.0,0.0,1120.0,560.0,560.0,50.00%,0.0
Caneca Ágata 30,10029,Outros,11.0,330.0,0.0,0.0,0.0,330.0,165.0,165.0,50.00%,0.0
Canga elastano,10005,Roupas,66.0,3630.0,0.0,0.0,165.0,3465.0,1320.0,2145.0,61.90%,0.0
Canga viscose,10006,Roupas,15.0,975.0,0.0,0.0,0.0,975.0,375.0,600.0,61.54%,0.0
Carteira alça,10023,Bolsas,83.0,1245.0,0.0,0.0,15.0,1230.0,415.0,815.0,66.26%,0.0
Chaveiro 5,10033,Outros,29.0,145.0,0.0,0.0,2.22,142.78,29.0,113.78,79.69%,0.0
Chaveiro ímã 10,10034,Outros,595.0,5950.0,0.0,0.0,40.01,5909.99,2975.0,2934.99,49.66%,0.0
Color 60,10007,Roupas,42.0,2520.0,0.0,0.0,49.73,2470.27,945.0,1525.27,61.75%,0.0
Color XG 65,10008,Roupas,7.0,455.0,0.0,0.0,0.0,455.0,178.5,276.5,60.77%,0.0
Ecobag,10025,Bolsas,55.0,1375.0,0.0,0.0,25.0,1350.0,550.0,800.0,59.26%,0.0
Embalagem presente 10,10037,Outros,2.0,14.0,0.0,0.0,0.0,14.0,6.4,7.6,54.29%,0.0
Embalagem presente 5,10036,Outros,27.0,135.0,0.0,0.0,12.8,122.2,54.0,68.2,55.81%,0.0
Imã 15,10035,Outros,52.0,780.0,0.0,0.0,1.67,778.33,260.0,518.33,66.60%,0.0
Macaquinho,10009,Roupas,5.0,250.0,0.0,0.0,0.0,250.0,90.0,160.0,64.00%,0.0
Necessaire,10026,Bolsas,195.0,3900.0,0.0,0.0,66.8,3833.2,1560.0,2273.2,59.30%,0.0
Oxe adulto,10010,Roupas,3.0,180.0,0.0,0.0,0.0,180.0,77.85,102.15,56.75%,0.0
Oxe conjunto,10012,Roupas,10.0,800.0,0.0,0.0,0.0,800.0,375.0,425.0,53.13%,0.0
Oxe infantil,10011,Roupas,11.0,605.0,0.0,0.0,0.0,605.0,229.9,375.1,62.00%,0.0
Oxe XG,10013,Roupas,5.0,325.0,0.0,0.0,0.0,325.0,159.5,165.5,50.92%,0.0
Placa,10019,Outros,204.0,4080.0,0.0,0.0,17.78,4062.22,1224.0,2838.22,69.87%,0.0
Placa kit 100,10038,Outros,42.0,4200.0,0.0,0.0,0.0,4200.0,1512.0,2688.0,64.00%,0.0
Porta lingerie,10027,Bolsas,14.0,350.0,0.0,0.0,0.0,350.0,119.0,231.0,66.00%,0.0
Regional adulto,10014,Roupas,370.0,20350.0,0.0,0.0,0.0,20350.0,9065.0,11285.0,55.45%,0.0
Regional infantil,10015,Roupas,40.0,1800.0,0.0,0.0,0.0,1800.0,880.0,920.0,51.11%,0.0
Saída praia,10016,Roupas,24.0,1560.0,0.0,0.0,65.0,1495.0,703.2,791.8,52.96%,0.0
Sereia,10017,Roupas,1.0,180.0,0.0,0.0,0.0,180.0,85.0,95.0,52.78%,0.0
Vestido algodão,10018,Roupas,15.0,900.0,0.0,0.0,0.0,900.0,315.0,585.0,65.00%,0.0
