Item,SKU,Categoria,Itens vendidos,Vendas brutas,Itens reembolsados,Reembolsos,Descontos,Vendas líquidas,Custo das mercadorias,Lucro bruto,Margem,Impostos
Body,10003,Roupas,1.0,35.0,0.0,0.0,0.0,35.0,14.5,20.5,58.57%,0.0
Boneca,10032,Outros,1.0,35.0,0.0,0.0,0.0,35.0,13.0,22.0,62.86%,0.0
Caneca louça,10030,Outros,2.0,70.0,0.0,0.0,0.0,70.0,29.0,41.0,58.57%,0.0
Caneca Ágata 30,10029,Outros,1.0,30.0,0.0,0.0,0.0,30.0,15.0,15.0,50.00%,0.0
Canga elastano,10005,Roupas,2.0,110.0,0.0,0.0,0.0,110.0,40.0,70.0,63.64%,0.0
Canga viscose,10006,Roupas,1.0,65.0,0.0,0.0,0.0,65.0,25.0,40.0,61.54%,0.0
Carteira alça,10023,Bolsas,2.0,30.0,0.0,0.0,0.0,30.0,10.0,20.0,66.67%,0.0
Chaveiro ímã 10,10034,Outros,21.0,210.0,0.0,0.0,0.0,210.0,105.0,105.0,50.00%,0.0
Ecobag,10025,Bolsas,2.0,50.0,0.0,0.0,0.0,50.0,20.0,30.0,60.00%,0.0
Embalagem presente 5,10036,Outros,1.0,5.0,0.0,0.0,0.0,5.0,2.0,3.0,60.00%,0.0
Macaquinho,10009,Roupas,1.0,50.0,0.0,0.0,0.0,50.0,18.0,32.0,64.00%,0.0
Necessaire,10026,Bolsas,6.0,120.0,0.0,0.0,0.0,120.0,48.0,72.0,60.00%,0.0
Placa,10019,Outros,4.0,80.0,0.0,0.0,0.0,80.0,24.0,56.0,70.00%,0.0
Regional adulto,10014,Roupas,15.0,825.0,0.0,0.0,0.0,825.0,367.5,457.5,55.45%,0.0
Regional infantil,10015,Roupas,1.0,45.0,0.0,0.0,0.0,45.0,22.0,23.0,51.11%,0.0
Vestido algodão,10018,Roupas,2.0,120.0,0.0,0.0,0.0,120.0,42.0,78.0,65.00%,0.0
