Item,SKU,Categoria,Itens vendidos,Vendas brutas,Itens reembolsados,Reembolsos,Descontos,Vendas líquidas,Custo das mercadorias,Lucro bruto,Margem,Impostos
Body,10003,Roupas,3.0,105.0,0.0,0.0,0.0,105.0,43.5,61.5,58.57%,0.0
Bolsa kit 125,10039,Bolsas,1.0,125.0,0.0,0.0,0.0,125.0,55.0,70.0,56.00%,0.0
Bolsinha 12,10021,Bolsas,1.0,15.0,0.0,0.0,0.0,15.0,6.0,9.0,60.00%,0.0
Boneca,10032,Outros,2.0,60.0,0.0,0.0,0.0,60.0,26.0,34.0,56.67%,0.0
Caneca louça,10030,Outros,10.0,350.0,0.0,0.0,0.0,350.0,145.0,205.0,58.57%,0.0
Canga elastano,10005,Roupas,2.0,110.0,0.0,0.0,0.0,110.0,40.0,70.0,63.64%,0.0
Canga viscose,10006,Roupas,5.0,325.0,0.0,0.0,0.0,325.0,125.0,200.0,61.54%,0.0
Chaveiro 5,10033,Outros,2.0,10.0,0.0,0.0,0.0,10.0,2.0,8.0,80.00%,0.0
Chaveiro ímã 10,10034,Outros,35.0,350.0,0.0,0.0,0.0,350.0,175.0,175.0,50.00%,0.0
Color 60,10007,Roupas,2.0,120.0,0.0,0.0,0.0,120.0,45.0,75.0,62.50%,0.0
Color XG 65,10008,Roupas,1.0,65.0,0.0,0.0,0.0,65.0,25.5,39.5,60.77%,0.0
Imã 15,10035,Outros,1.0,15.0,0.0,0.0,0.0,15.0,15.0,0.0,0.00%,0.0
Necessaire,10026,Bolsas,5.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.00%,0.0
Oxe adulto,10010,Roupas,2.0,120.0,0.0,0.0,0.0,120.0,51.9,68.1,56.75%,0.0
Placa,10019,Outros,18.0,360.0,0.0,0.0,0.0,360.0,108.0,252.0,70.00%,0.0
Placa kit 100,10038,Outros,2.0,200.0,0.0,0.0,0.0,200.0,72.0,128.0,64.00%,0.0
Porta lingerie,10027,Bolsas,1.0,25.0,0.0,0.0,0.0,25.0,8.5,16.5,66.00%,0.0
Regional adulto,10014,Roupas,16.0,880.0,0.0,0.0,0.0,880.0,392.0,488.0,55.45%,0.0
Regional infantil,10015,Roupas,2.0,90.0,0.0,0.0,0.0,90.0,44.0,46.0,51.11%,0.0
Vestido algodão,10018,Roupas,1.0,60.0,0.0,0.0,0.0,60.0,21.0,39.0,65.00%,0.0
