Item,SKU,Categoria,Itens vendidos,Vendas brutas,Itens reembolsados,Reembolsos,Descontos,Vendas líquidas,Custo das mercadorias,Lucro bruto,Margem,Impostos
Bata adulto,10000,Roupas,36.000,2160.00,0.000,0.00,0.00,2160.00,1004.00,1156.00,53.52%,0.00
Bata infantil,10001,Roupas,19.000,845.00,0.000,0.00,0.00,845.00,386.00,459.00,54.32%,0.00
Bata XG 65,10002,Roupas,3.000,195.00,0.000,0.00,0.00,195.00,81.00,114.00,58.46%,0.00
Body,10003,Roupas,106.000,3710.00,0.000,0.00,35.00,3675.00,1619.00,2056.00,55.95%,0.00
Body conjunto,10004,Roupas,8.000,480.00,0.000,0.00,0.00,480.00,220.00,260.00,54.17%,0.00
Bolsa 55,10020,Bolsas,49.000,2695.00,0.000,0.00,0.00,2695.00,1078.00,1617.00,60.00%,0.00
Bolsa kit 125,10039,Bolsas,163.000,20375.00,0.000,0.00,0.00,20375.00,9875.00,10500.00,51.53%,0.00
Bolsinha 12,10021,Bolsas,21.000,315.00,0.000,0.00,0.00,315.00,126.00,189.00,60.00%,0.00
Bolsinha 15,10022,Bolsas,21.000,380.00,0.000,0.00,0.00,380.00,192.00,188.00,49.47%,0.00
Boneca,10032,Outros,33.000,1035.00,0.000,0.00,0.00,1035.00,480.00,555.00,53.62%,0.00
Boneca oxe,10040,Sem categoria,5.000,250.00,0.000,0.00,0.00,250.00,130.00,120.00,48.00%,0.00
Boné,10031,Outros,4.000,240.00,0.000,0.00,0.00,240.00,112.00,128.00,53.33%,0.00
Caneca louça,10030,Outros,262.000,9170.00,0.000,0.00,0.00,9170.00,4188.50,4981.50,54.32%,0.00
Caneca Ágata 20,10028,Outros,168.000,3360.00,0.000,0.00,0.00,3360.00,1790.00,1570.00,46.73%,0.00
Caneca Ágata 30,10029,Outros,29.000,870.00,0.000,0.00,0.00,870.00,450.00,420.00,48.28%,0.00
Canga elastano,10005,Roupas,189.000,10395.00,0.000,0.00,165.00,10230.00,4655.00,5575.00,54.50%,0.00
Canga viscose,10006,Roupas,54.000,3510.00,0.000,0.00,0.00,3510.00,1510.00,2000.00,56.98%,0.00
Carteira alça,10023,Bolsas,247.000,3705.00,0.000,0.00,15.00,3690.00,1505.00,2185.00,59.21%,0.00
Chaveiro 5,10033,Outros,83.000,415.00,0.000,0.00,2.22,412.78,103.00,309.78,75.05%,0.00
Chaveiro ímã 10,10034,Outros,1664.000,16640.00,0.000,0.00,30.01,16609.99,8890.00,7719.99,46.48%,0.00
Color 60,10007,Roupas,95.000,5700.00,0.000,0.00,46.40,5653.60,2250.00,3403.60,60.20%,0.00
Color XG 65,10008,Roupas,19.000,1235.00,0.000,0.00,0.00,1235.00,524.00,711.00,57.57%,0.00
Ecobag,10025,Bolsas,230.000,5750.00,0.000,0.00,25.00,5725.00,2525.00,3200.00,55.90%,0.00
Embalagem presente 10,10037,Outros,8.000,74.00,0.000,0.00,0.00,74.00,66.40,7.60,10.27%,0.00
Embalagem presente 5,10036,Outros,73.000,365.00,0.000,0.00,17.80,347.20,251.00,96.20,27.71%,0.00
Imã 15,10035,Outros,194.000,2910.00,0.000,0.00,0.00,2910.00,2020.00,890.00,30.58%,0.00
Macaquinho,10009,Roupas,22.000,1070.00,0.000,0.00,0.00,1070.00,558.00,512.00,47.85%,0.00
Necessaire,10026,Bolsas,626.000,12520.00,1.000,20.00,66.80,12433.20,9056.00,3377.20,27.16%,0.00
Oxe adulto,10010,Roupas,25.000,1500.00,0.000,0.00,0.00,1500.00,682.80,817.20,54.48%,0.00
Oxe conjunto,10012,Roupas,39.000,3100.00,0.000,0.00,0.00,3100.00,1592.50,1507.50,48.63%,0.00
Oxe infantil,10011,Roupas,29.000,1595.00,0.000,0.00,0.00,1595.00,674.30,920.70,57.72%,0.00
Oxe XG,10013,Roupas,9.000,585.00,0.000,0.00,0.00,585.00,287.10,297.90,50.92%,0.00
Placa,10019,Outros,680.000,13600.00,0.000,0.00,22.78,13577.22,4570.00,9007.22,66.34%,0.00
Placa kit 100,10038,Outros,136.000,13600.00,0.000,0.00,0.00,13600.00,5152.00,8448.00,62.12%,0.00
Porta lingerie,10027,Bolsas,35.000,875.00,0.000,0.00,0.00,875.00,297.50,577.50,66.00%,0.00
Regional adulto,10014,Roupas,935.000,51425.00,0.000,0.00,0.00,51425.00,24890.00,26535.00,51.60%,0.00
Regional infantil,10015,Roupas,100.000,4500.00,0.000,0.00,0.00,4500.00,2476.00,2024.00,44.98%,0.00
Saída praia,10016,Roupas,54.000,3510.00,0.000,0.00,65.00,3445.00,1760.70,1684.30,48.89%,0.00
Sereia,10017,Roupas,11.000,1980.00,0.000,0.00,0.00,1980.00,1030.00,950.00,47.98%,0.00
Vestido algodão,10018,Roupas,43.000,2570.00,0.000,0.00,0.00,2570.00,971.00,1599.00,62.22%,0.00
