Item,SKU,Categoria,Itens vendidos,Vendas brutas,Itens reembolsados,Reembolsos,Descontos,Vendas líquidas,Custo das mercadorias,Lucro bruto,Margem,Impostos
Bata adulto,10000,Roupas,1.0,60.0,0.0,0.0,0.0,60.0,26.0,34.0,56.67%,0.0
Bolsa kit 125,10039,Bolsas,6.0,750.0,0.0,0.0,0.0,750.0,330.0,420.0,56.00%,0.0
Bolsinha 12,10021,Bolsas,1.0,12.0,0.0,0.0,0.0,12.0,6.0,6.0,50.00%,0.0
Bolsinha 15,10022,Bolsas,2.0,30.0,0.0,0.0,0.0,30.0,16.0,14.0,46.67%,0.0
Boneca oxe,10040,Sem categoria,1.0,50.0,0.0,0.0,0.0,50.0,26.0,24.0,48.00%,0.0
Caneca louça,10030,Outros,1.0,35.0,0.0,0.0,0.0,35.0,14.5,20.5,58.57%,0.0
Caneca Ágata 20,10028,Outros,8.0,160.0,0.0,0.0,0.0,160.0,80.0,80.0,50.00%,0.0
Caneca Ágata 30,10029,Outros,1.0,30.0,0.0,0.0,0.0,30.0,15.0,15.0,50.00%,0.0
Canga elastano,10005,Roupas,4.0,220.0,0.0,0.0,0.0,220.0,80.0,140.0,63.64%,0.0
Carteira alça,10023,Bolsas,8.0,120.0,0.0,0.0,0.0,120.0,40.0,80.0,66.67%,0.0
Chaveiro 5,10033,Outros,1.0,5.0,0.0,0.0,0.0,5.0,1.0,4.0,80.00%,0.0
Chaveiro ímã 10,10034,Outros,44.0,440.0,0.0,0.0,0.0,440.0,220.0,220.0,50.00%,0.0
Color 60,10007,Roupas,1.0,60.0,0.0,0.0,0.0,60.0,22.5,37.5,62.50%,0.0
Ecobag,10025,Bolsas,2.0,50.0,0.0,0.0,0.0,50.0,20.0,30.0,60.00%,0.0
Embalagem presente 5,10036,Outros,4.0,20.0,0.0,0.0,0.0,20.0,8.0,12.0,60.00%,0.0
Imã 15,10035,Outros,3.0,45.0,0.0,0.0,0.0,45.0,15.0,30.0,66.67%,0.0
Necessaire,10026,Bolsas,20.0,400.0,0.0,0.0,0.0,400.0,160.0,240.0,60.00%,0.0
Oxe conjunto,10012,Roupas,2.0,160.0,0.0,0.0,0.0,160.0,75.0,85.0,53.13%,0.0
Oxe infantil,10011,Roupas,1.0,55.0,0.0,0.0,0.0,55.0,20.9,34.1,62.00%,0.0
Placa,10019,Outros,10.0,200.0,0.0,0.0,0.0,200.0,60.0,140.0,70.00%,0.0
Placa kit 100,10038,Outros,1.0,100.0,0.0,0.0,0.0,100.0,36.0,64.0,64.00%,0.0
Regional adulto,10014,Roupas,23.0,1265.0,0.0,0.0,0.0,1265.0,563.5,701.5,55.45%,0.0
Regional infantil,10015,Roupas,2.0,90.0,0.0,0.0,0.0,90.0,44.0,46.0,51.11%,0.0
Vestido algodão,10018,Roupas,1.0,60.0,0.0,0.0,0.0,60.0,21.0,39.0,65.00%,0.0
