Item,SKU,Categoria,Itens vendidos,Vendas brutas,Itens reembolsados,Reembolsos,Descontos,Vendas líquidas,Custo das mercadorias,Lucro bruto,Margem,Impostos
Bata adulto,10000,Roupas,3.000,180.00,0.000,0.00,0.00,180.00,78.00,102.00,56.67%,0.00
Body,10003,Roupas,3.000,105.00,0.000,0.00,0.00,105.00,43.50,61.50,58.57%,0.00
Bolsa 55,10020,Bolsas,2.000,110.00,0.000,0.00,0.00,110.00,44.00,66.00,60.00%,0.00
Bolsa kit 125,10039,Bolsas,4.000,500.00,0.000,0.00,0.00,500.00,220.00,280.00,56.00%,0.00
Bolsinha 15,10022,Bolsas,1.000,15.00,0.000,0.00,0.00,15.00,8.00,7.00,46.67%,0.00
Boneca,10032,Outros,2.000,70.00,0.000,0.00,0.00,70.00,26.00,44.00,62.86%,0.00
Caneca louça,10030,Outros,8.000,280.00,0.000,0.00,0.00,280.00,116.00,164.00,58.57%,0.00
Caneca Ágata 20,10028,Outros,6.000,120.00,0.000,0.00,0.00,120.00,60.00,60.00,50.00%,0.00
Canga elastano,10005,Roupas,5.000,275.00,0.000,0.00,0.00,275.00,100.00,175.00,63.64%,0.00
Canga viscose,10006,Roupas,2.000,130.00,0.000,0.00,0.00,130.00,50.00,80.00,61.54%,0.00
Carteira alça,10023,Bolsas,10.000,150.00,0.000,0.00,0.00,150.00,50.00,100.00,66.67%,0.00
Chaveiro ímã 10,10034,Outros,81.000,810.00,0.000,0.00,0.00,810.00,405.00,405.00,50.00%,0.00
Color 60,10007,Roupas,1.000,60.00,0.000,0.00,0.00,60.00,22.50,37.50,62.50%,0.00
Color XG 65,10008,Roupas,1.000,65.00,0.000,0.00,0.00,65.00,25.50,39.50,60.77%,0.00
Embalagem presente 10,10037,Outros,1.000,7.00,0.000,0.00,0.00,7.00,3.20,3.80,54.29%,0.00
Embalagem presente 5,10036,Outros,5.000,25.00,0.000,0.00,0.00,25.00,10.00,15.00,60.00%,0.00
Imã 15,10035,Outros,8.000,120.00,0.000,0.00,0.00,120.00,40.00,80.00,66.67%,0.00
Necessaire,10026,Bolsas,16.000,320.00,0.000,0.00,2.00,318.00,128.00,190.00,59.75%,0.00
Oxe conjunto,10012,Roupas,1.000,80.00,0.000,0.00,0.00,80.00,37.50,42.50,53.13%,0.00
Placa,10019,Outros,8.000,160.00,0.000,0.00,0.00,160.00,48.00,112.00,70.00%,0.00
Regional adulto,10014,Roupas,23.000,1265.00,0.000,0.00,0.00,1265.00,563.50,701.50,55.45%,0.00
Regional infantil,10015,Roupas,7.000,315.00,0.000,0.00,0.00,315.00,154.00,161.00,51.11%,0.00
Saída praia,10016,Roupas,1.000,65.00,0.000,0.00,0.00,65.00,29.30,35.70,54.92%,0.00
Sereia,10017,Roupas,1.000,180.00,0.000,0.00,0.00,180.00,85.00,95.00,52.78%,0.00
Vestido algodão,10018,Roupas,2.000,120.00,0.000,0.00,0.00,120.00,42.00,78.00,65.00%,0.00
