Item,SKU,Categoria,Itens vendidos,Vendas brutas,Itens reembolsados,Reembolsos,Descontos,Vendas líquidas,Custo das mercadorias,Lucro bruto,Margem,Impostos
Body,10003,Roupas,4.0,140.0,0.0,0.0,0.0,140.0,58.0,82.0,58.57%,0.0
Body conjunto,10004,Roupas,2.0,120.0,0.0,0.0,0.0,120.0,55.0,65.0,54.17%,0.0
Bolsa 55,10020,Bolsas,1.0,55.0,0.0,0.0,0.0,55.0,22.0,33.0,60.00%,0.0
Bolsinha 12,10021,Bolsas,2.0,24.0,0.0,0.0,0.0,24.0,12.0,12.0,50.00%,0.0
Bolsinha 15,10022,Bolsas,1.0,15.0,0.0,0.0,0.0,15.0,8.0,7.0,46.67%,0.0
Boneca,10032,Outros,1.0,35.0,0.0,0.0,0.0,35.0,13.0,22.0,62.86%,0.0
Boneca oxe,10040,Sem categoria,1.0,50.0,0.0,0.0,0.0,50.0,26.0,24.0,48.00%,0.0
Caneca louça,10030,Outros,4.0,140.0,0.0,0.0,0.0,140.0,58.0,82.0,58.57%,0.0
Caneca Ágata 20,10028,Outros,1.0,20.0,0.0,0.0,0.0,20.0,10.0,10.0,50.00%,0.0
Canga elastano,10005,Roupas,3.0,165.0,0.0,0.0,0.0,165.0,60.0,105.0,63.64%,0.0
Canga viscose,10006,Roupas,3.0,195.0,0.0,0.0,0.0,195.0,75.0,120.0,61.54%,0.0
Carteira alça,10023,Bolsas,2.0,30.0,0.0,0.0,0.0,30.0,10.0,20.0,66.67%,0.0
Chaveiro 5,10033,Outros,1.0,5.0,0.0,0.0,0.0,5.0,1.0,4.0,80.00%,0.0
Chaveiro ímã 10,10034,Outros,32.0,320.0,0.0,0.0,0.0,320.0,160.0,160.0,50.00%,0.0
Color 60,10007,Roupas,1.0,60.0,0.0,0.0,0.0,60.0,22.5,37.5,62.50%,0.0
Ecobag,10025,Bolsas,2.0,50.0,0.0,0.0,0.0,50.0,20.0,30.0,60.00%,0.0
Embalagem presente 5,10036,Outros,1.0,5.0,0.0,0.0,0.0,5.0,2.0,3.0,60.00%,0.0
Necessaire,10026,Bolsas,4.0,80.0,0.0,0.0,0.0,80.0,32.0,48.0,60.00%,0.0
Oxe conjunto,10012,Roupas,1.0,80.0,0.0,0.0,0.0,80.0,37.5,42.5,53.13%,0.0
Placa,10019,Outros,9.0,180.0,0.0,0.0,0.0,180.0,54.0,126.0,70.00%,0.0
Placa kit 100,10038,Outros,3.0,300.0,0.0,0.0,0.0,300.0,108.0,192.0,64.00%,0.0
Regional adulto,10014,Roupas,10.0,550.0,0.0,0.0,0.0,550.0,245.0,305.0,55.45%,0.0
Saída praia,10016,Roupas,1.0,65.0,0.0,0.0,0.0,65.0,29.3,35.7,54.92%,0.0
Vestido algodão,10018,Roupas,3.0,180.0,0.0,0.0,0.0,180.0,63.0,117.0,65.00%,0.0
