Item,SKU,Categoria,Itens vendidos,Vendas brutas,Itens reembolsados,Reembolsos,Descontos,Vendas líquidas,Custo das mercadorias,Lucro bruto,Margem,Impostos
Bata adulto,10000,Roupas,1.000,60.00,0.000,0.00,0.00,60.00,26.00,34.00,56.67%,0.00
Body,10003,Roupas,1.000,35.00,0.000,0.00,0.00,35.00,14.50,20.50,58.57%,0.00
Bolsa kit 125,10039,Bolsas,1.000,125.00,0.000,0.00,0.00,125.00,55.00,70.00,56.00%,0.00
Caneca louça,10030,Outros,6.000,210.00,0.000,0.00,0.00,210.00,87.00,123.00,58.57%,0.00
Caneca Ágata 20,10028,Outros,4.000,80.00,0.000,0.00,0.00,80.00,40.00,40.00,50.00%,0.00
Caneca Ágata 30,10029,Outros,1.000,30.00,0.000,0.00,0.00,30.00,15.00,15.00,50.00%,0.00
Canga elastano,10005,Roupas,1.000,55.00,0.000,0.00,0.00,55.00,20.00,35.00,63.64%,0.00
Chaveiro 5,10033,Outros,1.000,5.00,0.000,0.00,0.00,5.00,1.00,4.00,80.00%,0.00
Chaveiro ímã 10,10034,Outros,39.000,390.00,0.000,0.00,0.00,390.00,195.00,195.00,50.00%,0.00
Color XG 65,10008,Roupas,1.000,65.00,0.000,0.00,0.00,65.00,25.50,39.50,60.77%,0.00
Ecobag,10025,Bolsas,2.000,50.00,0.000,0.00,0.00,50.00,20.00,30.00,60.00%,0.00
Imã 15,10035,Outros,7.000,105.00,0.000,0.00,0.00,105.00,105.00,0.00,0.00%,0.00
Necessaire,10026,Bolsas,10.000,200.00,0.000,0.00,0.00,200.00,200.00,0.00,0.00%,0.00
Placa,10019,Outros,9.000,180.00,0.000,0.00,0.00,180.00,54.00,126.00,70.00%,0.00
Regional adulto,10014,Roupas,13.000,715.00,0.000,0.00,0.00,715.00,318.50,396.50,55.45%,0.00
