Item,SKU,Categoria,Itens vendidos,Vendas brutas,Itens reembolsados,Reembolsos,Descontos,Vendas líquidas,Custo das mercadorias,Lucro bruto,Margem,Impostos
Body,10003,Roupas,5.0,175.0,0.0,0.0,0.0,175.0,72.5,102.5,58.57%,0.0
Bolsa 55,10020,Bolsas,1.0,55.0,0.0,0.0,0.0,55.0,22.0,33.0,60.00%,0.0
Bolsa kit 125,10039,Bolsas,3.0,375.0,0.0,0.0,0.0,375.0,165.0,210.0,56.00%,0.0
Boné,10031,Outros,1.0,60.0,0.0,0.0,0.0,60.0,28.0,32.0,53.33%,0.0
Caneca louça,10030,Outros,13.0,455.0,0.0,0.0,0.0,455.0,188.5,266.5,58.57%,0.0
Caneca Ágata 20,10028,Outros,2.0,40.0,0.0,0.0,0.0,40.0,20.0,20.0,50.00%,0.0
Caneca Ágata 30,10029,Outros,1.0,30.0,0.0,0.0,0.0,30.0,15.0,15.0,50.00%,0.0
Canga elastano,10005,Roupas,2.0,110.0,0.0,0.0,0.0,110.0,40.0,70.0,63.64%,0.0
Carteira alça,10023,Bolsas,4.0,60.0,0.0,0.0,0.0,60.0,20.0,40.0,66.67%,0.0
Chaveiro 5,10033,Outros,2.0,10.0,0.0,0.0,0.0,10.0,2.0,8.0,80.00%,0.0
Chaveiro ímã 10,10034,Outros,11.0,110.0,0.0,0.0,0.0,110.0,55.0,55.0,50.00%,0.0
Color 60,10007,Roupas,2.0,120.0,0.0,0.0,0.0,120.0,45.0,75.0,62.50%,0.0
Color XG 65,10008,Roupas,1.0,65.0,0.0,0.0,0.0,65.0,25.5,39.5,60.77%,0.0
Ecobag,10025,Bolsas,1.0,25.0,0.0,0.0,0.0,25.0,10.0,15.0,60.00%,0.0
Embalagem presente 5,10036,Outros,1.0,5.0,0.0,0.0,0.0,5.0,2.0,3.0,60.00%,0.0
Imã 15,10035,Outros,1.0,15.0,0.0,0.0,0.0,15.0,5.0,10.0,66.67%,0.0
Necessaire,10026,Bolsas,17.0,340.0,0.0,0.0,0.0,340.0,136.0,204.0,60.00%,0.0
Oxe adulto,10010,Roupas,1.0,60.0,0.0,0.0,0.0,60.0,25.95,34.05,56.75%,0.0
Placa,10019,Outros,20.0,400.0,0.0,0.0,0.0,400.0,120.0,280.0,70.00%,0.0
Placa kit 100,10038,Outros,5.0,500.0,0.0,0.0,0.0,500.0,180.0,320.0,64.00%,0.0
Regional adulto,10014,Roupas,12.0,660.0,0.0,0.0,0.0,660.0,294.0,366.0,55.45%,0.0
Vestido algodão,10018,Roupas,1.0,60.0,0.0,0.0,0.0,60.0,21.0,39.0,65.00%,0.0
