Item,SKU,Categoria,Itens vendidos,Vendas brutas,Itens reembolsados,Reembolsos,Descontos,Vendas líquidas,Custo das mercadorias,Lucro bruto,Margem,Impostos
Bolsa 55,10020,Bolsas,1.0,55.0,0.0,0.0,5.0,50.0,22.0,28.0,56.00%,0.0
Bolsa kit 125,10039,Bolsas,4.0,500.0,0.0,0.0,0.0,500.0,220.0,280.0,56.00%,0.0
Caneca louça,10030,Outros,4.0,140.0,0.0,0.0,0.0,140.0,58.0,82.0,58.57%,0.0
Caneca Ágata 20,10028,Outros,2.0,40.0,0.0,0.0,0.0,40.0,20.0,20.0,50.00%,0.0
Caneca Ágata 30,10029,Outros,3.0,90.0,0.0,0.0,0.0,90.0,45.0,45.0,50.00%,0.0
Chaveiro ímã 10,10034,Outros,12.0,120.0,0.0,0.0,0.0,120.0,60.0,60.0,50.00%,0.0
Color 60,10007,Roupas,2.0,120.0,0.0,0.0,3.33,116.67,45.0,71.67,61.43%,0.0
Imã 15,10035,Outros,2.0,30.0,0.0,0.0,1.67,28.33,10.0,18.33,64.70%,0.0
Necessaire,10026,Bolsas,4.0,80.0,0.0,0.0,0.0,80.0,32.0,48.0,60.00%,0.0
Placa,10019,Outros,5.0,100.0,0.0,0.0,0.0,100.0,30.0,70.0,70.00%,0.0
Placa kit 100,10038,Outros,4.0,400.0,0.0,0.0,0.0,400.0,144.0,256.0,64.00%,0.0
Porta lingerie,10027,Bolsas,2.0,50.0,0.0,0.0,0.0,50.0,17.0,33.0,66.00%,0.0
Regional adulto,10014,Roupas,6.0,330.0,0.0,0.0,0.0,330.0,147.0,183.0,55.45%,0.0
Regional infantil,10015,Roupas,1.0,45.0,0.0,0.0,0.0,45.0,22.0,23.0,51.11%,0.0
