Item,SKU,Categoria,Itens vendidos,Vendas brutas,Itens reembolsados,Reembolsos,Descontos,Vendas líquidas,Custo das mercadorias,Lucro bruto,Margem,Impostos
Bata adulto,10000,Roupas,1.0,60.0,0.0,0.0,0.0,60.0,26.0,34.0,56.67%,0.0
Bolsa kit 125,10039,Bolsas,1.0,125.0,0.0,0.0,0.0,125.0,55.0,70.0,56.00%,0.0
Carteira alça,10023,Bolsas,4.0,60.0,0.0,0.0,0.0,60.0,20.0,40.0,66.67%,0.0
Chaveiro ímã 10,10034,Outros,14.0,140.0,0.0,0.0,0.0,140.0,70.0,70.0,50.00%,0.0
Color 60,10007,Roupas,1.0,60.0,0.0,0.0,0.0,60.0,22.5,37.5,62.50%,0.0
Color XG 65,10008,Roupas,1.0,65.0,0.0,0.0,0.0,65.0,25.5,39.5,60.77%,0.0
Ecobag,10025,Bolsas,2.0,50.0,0.0,0.0,0.0,50.0,20.0,30.0,60.00%,0.0
Imã 15,10035,Outros,1.0,15.0,0.0,0.0,0.0,15.0,5.0,10.0,66.67%,0.0
Necessaire,10026,Bolsas,3.0,60.0,0.0,0.0,2.0,58.0,24.0,34.0,58.62%,0.0
Placa,10019,Outros,4.0,80.0,0.0,0.0,0.0,80.0,24.0,56.0,70.00%,0.0
Placa kit 100,10038,Outros,1.0,100.0,0.0,0.0,0.0,100.0,36.0,64.0,64.00%,0.0
Regional adulto,10014,Roupas,8.0,440.0,0.0,0.0,0.0,440.0,196.0,244.0,55.45%,0.0
Regional infantil,10015,Roupas,1.0,45.0,0.0,0.0,0.0,45.0,22.0,23.0,51.11%,0.0
