Item,SKU,Categoria,Itens vendidos,Vendas brutas,Itens reembolsados,Reembolsos,Descontos,Vendas líquidas,Custo das mercadorias,Lucro bruto,Margem,Impostos
Bata infantil,10001,Roupas,1.0,45.0,0.0,0.0,0.0,45.0,18.0,27.0,60.00%,0.0
Body,10003,Roupas,1.0,35.0,0.0,0.0,0.0,35.0,14.5,20.5,58.57%,0.0
Bolsa 55,10020,Bolsas,1.0,55.0,0.0,0.0,0.0,55.0,22.0,33.0,60.00%,0.0
Bolsa kit 125,10039,Bolsas,5.0,625.0,0.0,0.0,0.0,625.0,275.0,350.0,56.00%,0.0
Boneca,10032,Outros,1.0,35.0,0.0,0.0,0.0,35.0,13.0,22.0,62.86%,0.0
Caneca Ágata 20,10028,Outros,3.0,60.0,0.0,0.0,0.0,60.0,30.0,30.0,50.00%,0.0
Canga elastano,10005,Roupas,8.0,440.0,0.0,0.0,0.0,440.0,160.0,280.0,63.64%,0.0
Chaveiro ímã 10,10034,Outros,23.0,230.0,0.0,0.0,0.0,230.0,115.0,115.0,50.00%,0.0
Color 60,10007,Roupas,4.0,240.0,0.0,0.0,0.0,240.0,90.0,150.0,62.50%,0.0
Ecobag,10025,Bolsas,1.0,25.0,0.0,0.0,0.0,25.0,10.0,15.0,60.00%,0.0
Embalagem presente 5,10036,Outros,2.0,10.0,0.0,0.0,0.0,10.0,4.0,6.0,60.00%,0.0
Ima promoção 20 reais,10041,Sem categoria,3.0,60.0,0.0,0.0,0.0,60.0,22.5,37.5,62.50%,0.0
Necessaire,10026,Bolsas,20.0,400.0,0.0,0.0,0.0,400.0,160.0,240.0,60.00%,0.0
Placa,10019,Outros,9.0,180.0,0.0,0.0,0.0,180.0,54.0,126.0,70.00%,0.0
Regional adulto,10014,Roupas,19.0,1045.0,0.0,0.0,0.0,1045.0,465.5,579.5,55.45%,0.0
Sereia,10017,Roupas,1.0,180.0,0.0,0.0,0.0,180.0,85.0,95.0,52.78%,0.0
