Item,SKU,Categoria,Itens vendidos,Vendas brutas,Itens reembolsados,Reembolsos,Descontos,Vendas líquidas,Custo das mercadorias,Lucro bruto,Margem,Impostos
Bata adulto,10000,Roupas,1.0,60.0,0.0,0.0,0.0,60.0,60.0,0.0,0.00%,0.0
Body,10003,Roupas,1.0,35.0,0.0,0.0,0.0,35.0,35.0,0.0,0.00%,0.0
Bolsa kit 125,10039,Bolsas,4.0,500.0,0.0,0.0,0.0,500.0,500.0,0.0,0.00%,0.0
Boneca,10032,Outros,1.0,30.0,0.0,0.0,0.0,30.0,30.0,0.0,0.00%,0.0
Caneca louça,10030,Outros,1.0,35.0,0.0,0.0,0.0,35.0,35.0,0.0,0.00%,0.0
Caneca Ágata 20,10028,Outros,5.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.00%,0.0
Canga elastano,10005,Roupas,9.0,495.0,0.0,0.0,0.0,495.0,495.0,0.0,0.00%,0.0
Canga viscose,10006,Roupas,1.0,65.0,0.0,0.0,0.0,65.0,65.0,0.0,0.00%,0.0
Carteira alça,10023,Bolsas,8.0,120.0,0.0,0.0,0.0,120.0,120.0,0.0,0.00%,0.0
Chaveiro 5,10033,Outros,4.0,20.0,0.0,0.0,0.0,20.0,20.0,0.0,0.00%,0.0
Chaveiro ímã 10,10034,Outros,36.0,360.0,0.0,0.0,0.0,360.0,360.0,0.0,0.00%,0.0
Color 60,10007,Roupas,2.0,120.0,0.0,0.0,0.0,120.0,120.0,0.0,0.00%,0.0
Ecobag,10025,Bolsas,4.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.00%,0.0
Embalagem presente 5,10036,Outros,1.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.00%,0.0
Imã 15,10035,Outros,4.0,60.0,0.0,0.0,0.0,60.0,60.0,0.0,0.00%,0.0
Macaquinho,10009,Roupas,2.0,90.0,0.0,0.0,0.0,90.0,90.0,0.0,0.00%,0.0
Necessaire,10026,Bolsas,17.0,340.0,0.0,0.0,0.0,340.0,340.0,0.0,0.00%,0.0
Oxe adulto,10010,Roupas,1.0,60.0,0.0,0.0,0.0,60.0,60.0,0.0,0.00%,0.0
Oxe conjunto,10012,Roupas,2.0,160.0,0.0,0.0,0.0,160.0,140.0,20.0,12.50%,0.0
Oxe infantil,10011,Roupas,1.0,55.0,0.0,0.0,0.0,55.0,55.0,0.0,0.00%,0.0
Placa,10019,Outros,14.0,280.0,0.0,0.0,0.0,280.0,280.0,0.0,0.00%,0.0
Placa kit 100,10038,Outros,1.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.00%,0.0
Regional adulto,10014,Roupas,17.0,935.0,0.0,0.0,0.0,935.0,935.0,0.0,0.00%,0.0
Regional infantil,10015,Roupas,6.0,270.0,0.0,0.0,0.0,270.0,270.0,0.0,0.00%,0.0
Saída praia,10016,Roupas,1.0,65.0,0.0,0.0,0.0,65.0,65.0,0.0,0.00%,0.0
Vestido algodão,10018,Roupas,1.0,55.0,0.0,0.0,0.0,55.0,55.0,0.0,0.00%,0.0
