Item,SKU,Categoria,Itens vendidos,Vendas brutas,Itens reembolsados,Reembolsos,Descontos,Vendas líquidas,Custo das mercadorias,Lucro bruto,Margem,Impostos
Canga Elastano — Flamingo,00423,Cangas em Elastano,2.000,110.00,0.000,0.00,0.00,110.00,57.00,53.00,48.18%,0.00
Canga Elastano — Tye Dye,00409,Cangas em Elastano,3.000,165.00,0.000,0.00,0.00,165.00,85.50,79.50,48.18%,0.00
Canga Algodão — Cordel,00429,Cangas em Algodão,3.000,120.00,0.000,0.00,0.00,120.00,45.00,75.00,62.50%,0.00
Canga Algodão — Eu Amo Nordeste,00430,Cangas em Algodão,2.000,80.00,0.000,0.00,0.00,80.00,30.00,50.00,62.50%,0.00
Bolsa kit 125,10039,Bolsas,1.000,125.00,0.000,0.00,0.00,125.00,55.00,70.00,56.00%,0.00
Porta lingerie,10027,Bolsas,3.000,75.00,0.000,0.00,0.00,75.00,25.50,49.50,66.00%,0.00
Carteira alça,10023,Bolsas,4.000,60.00,0.000,0.00,0.00,60.00,20.00,40.00,66.67%,0.00
Placa kit 100,10038,Outros,2.000,200.00,0.000,0.00,0.00,200.00,72.00,128.00,64.00%,0.00
Caneca Ágata 20,10028,Outros,5.000,100.00,0.000,0.00,0.00,100.00,50.00,50.00,50.00%,0.00
Boné,10031,Outros,1.000,60.00,0.000,0.00,0.00,60.00,28.00,32.00,53.33%,0.00
Bata infantil,10001,Roupas,2.000,88.00,0.000,0.00,0.00,88.00,36.00,52.00,59.09%,0.00
Oxe adulto,10010,Roupas,2.000,120.00,0.000,0.00,0.00,120.00,56.16,63.84,53.20%,0.00
Sereia,10017,Roupas,1.000,180.00,0.000,0.00,0.00,180.00,85.00,95.00,52.78%,0.00
Vestido algodão,10018,Roupas,2.000,119.20,0.000,0.00,0.00,119.20,42.00,77.20,64.77%,0.00
