Item,SKU,Categoria,Itens vendidos,Vendas brutas,Itens reembolsados,Reembolsos,Descontos,Vendas líquidas,Custo das mercadorias,Lucro bruto,Margem,Impostos
Body,10003,Roupas,4.0,140.0,0.0,0.0,0.0,140.0,58.0,82.0,58.57%,0.0
Bolsa kit 125,10039,Bolsas,4.0,500.0,0.0,0.0,0.0,500.0,220.0,280.0,56.00%,0.0
Bolsinha 12,10021,Bolsas,1.0,12.0,0.0,0.0,0.0,12.0,6.0,6.0,50.00%,0.0
Boneca oxe,10040,Sem categoria,1.0,50.0,0.0,0.0,0.0,50.0,26.0,24.0,48.00%,0.0
Caneca louça,10030,Outros,12.0,420.0,0.0,0.0,5.0,415.0,174.0,241.0,58.07%,0.0
Caneca Ágata 20,10028,Outros,1.0,20.0,0.0,0.0,0.0,20.0,10.0,10.0,50.00%,0.0
Caneca Ágata 30,10029,Outros,2.0,60.0,0.0,0.0,0.0,60.0,30.0,30.0,50.00%,0.0
Canga elastano,10005,Roupas,4.0,220.0,0.0,0.0,0.0,220.0,80.0,140.0,63.64%,0.0
Carteira alça,10023,Bolsas,11.0,165.0,0.0,0.0,0.0,165.0,55.0,110.0,66.67%,0.0
Chaveiro 5,10033,Outros,5.0,25.0,0.0,0.0,0.0,25.0,5.0,20.0,80.00%,0.0
Chaveiro ímã 10,10034,Outros,35.0,350.0,0.0,0.0,0.0,350.0,175.0,175.0,50.00%,0.0
Color 60,10007,Roupas,1.0,60.0,0.0,0.0,0.0,60.0,22.5,37.5,62.50%,0.0
Color XG 65,10008,Roupas,1.0,65.0,0.0,0.0,0.0,65.0,25.5,39.5,60.77%,0.0
Ecobag,10025,Bolsas,2.0,50.0,0.0,0.0,0.0,50.0,20.0,30.0,60.00%,0.0
Ima promoção 20 reais,10041,Sem categoria,1.0,20.0,0.0,0.0,0.0,20.0,7.5,12.5,62.50%,0.0
Imã 15,10035,Outros,4.0,60.0,0.0,0.0,0.0,60.0,20.0,40.0,66.67%,0.0
Macaquinho,10009,Roupas,3.0,150.0,0.0,0.0,0.0,150.0,54.0,96.0,64.00%,0.0
Necessaire,10026,Bolsas,29.0,580.0,0.0,0.0,0.0,580.0,232.0,348.0,60.00%,0.0
Placa,10019,Outros,13.0,260.0,0.0,0.0,0.0,260.0,78.0,182.0,70.00%,0.0
Placa kit 100,10038,Outros,8.0,800.0,0.0,0.0,0.0,800.0,288.0,512.0,64.00%,0.0
Regional adulto,10014,Roupas,23.0,1265.0,0.0,0.0,0.0,1265.0,563.5,701.5,55.45%,0.0
Regional infantil,10015,Roupas,2.0,90.0,0.0,0.0,0.0,90.0,44.0,46.0,51.11%,0.0
Vestido algodão,10018,Roupas,1.0,60.0,0.0,0.0,0.0,60.0,21.0,39.0,65.00%,0.0
