Item,SKU,Categoria,Itens vendidos,Vendas brutas,Itens reembolsados,Reembolsos,Descontos,Vendas líquidas,Custo das mercadorias,Lucro bruto,Margem,Impostos
Body,10003,Roupas,1.0,35.0,0.0,0.0,0.0,35.0,14.5,20.5,58.57%,0.0
Bolsa 55,10020,Bolsas,1.0,55.0,0.0,0.0,0.0,55.0,22.0,33.0,60.00%,0.0
Bolsa kit 125,10039,Bolsas,1.0,125.0,0.0,0.0,0.0,125.0,55.0,70.0,56.00%,0.0
Bolsinha 12,10021,Bolsas,1.0,15.0,0.0,0.0,0.0,15.0,6.0,9.0,60.00%,0.0
Caneca louça,10030,Outros,1.0,35.0,0.0,0.0,0.0,35.0,14.5,20.5,58.57%,0.0
Caneca Ágata 20,10028,Outros,1.0,20.0,0.0,0.0,0.0,20.0,10.0,10.0,50.00%,0.0
Canga elastano,10005,Roupas,2.0,110.0,0.0,0.0,0.0,110.0,40.0,70.0,63.64%,0.0
Chaveiro ímã 10,10034,Outros,5.0,50.0,0.0,0.0,0.0,50.0,25.0,25.0,50.00%,0.0
Color 60,10007,Roupas,1.0,60.0,0.0,0.0,0.0,60.0,22.5,37.5,62.50%,0.0
Ecobag,10025,Bolsas,1.0,25.0,0.0,0.0,0.0,25.0,10.0,15.0,60.00%,0.0
Embalagem presente 5,10036,Outros,1.0,5.0,0.0,0.0,0.0,5.0,2.0,3.0,60.00%,0.0
Imã 15,10035,Outros,5.0,75.0,0.0,0.0,0.0,75.0,25.0,50.0,66.67%,0.0
Necessaire,10026,Bolsas,4.0,80.0,0.0,0.0,0.0,80.0,32.0,48.0,60.00%,0.0
Oxe infantil,10011,Roupas,2.0,110.0,0.0,0.0,0.0,110.0,41.8,68.2,62.00%,0.0
Placa,10019,Outros,8.0,160.0,0.0,0.0,0.0,160.0,48.0,112.0,70.00%,0.0
Placa kit 100,10038,Outros,1.0,100.0,0.0,0.0,0.0,100.0,36.0,64.0,64.00%,0.0
Regional adulto,10014,Roupas,8.0,440.0,0.0,0.0,0.0,440.0,196.0,244.0,55.45%,0.0
Vestido algodão,10018,Roupas,2.0,120.0,0.0,0.0,0.0,120.0,42.0,78.0,65.00%,0.0
