Item,SKU,Categoria,Itens vendidos,Vendas brutas,Itens reembolsados,Reembolsos,Descontos,Vendas líquidas,Custo das mercadorias,Lucro bruto,Margem,Impostos
Bata infantil,10001,Roupas,1.0,45.0,0.0,0.0,0.0,45.0,18.0,27.0,60.00%,0.0
Body,10003,Roupas,1.0,35.0,0.0,0.0,0.0,35.0,14.5,20.5,58.57%,0.0
Bolsa 55,10020,Bolsas,1.0,55.0,0.0,0.0,0.0,55.0,22.0,33.0,60.00%,0.0
Bolsa kit 125,10039,Bolsas,3.0,375.0,0.0,0.0,0.0,375.0,165.0,210.0,56.00%,0.0
Bolsinha 12,10021,Bolsas,1.0,15.0,0.0,0.0,0.0,15.0,6.0,9.0,60.00%,0.0
Caneca louça,10030,Outros,7.0,245.0,0.0,0.0,0.0,245.0,101.5,143.5,58.57%,0.0
Caneca Ágata 20,10028,Outros,1.0,20.0,0.0,0.0,0.0,20.0,10.0,10.0,50.00%,0.0
Canga elastano,10005,Roupas,2.0,110.0,0.0,0.0,0.0,110.0,40.0,70.0,63.64%,0.0
Carteira alça,10023,Bolsas,4.0,60.0,0.0,0.0,0.0,60.0,20.0,40.0,66.67%,0.0
Chaveiro 5,10033,Outros,5.0,25.0,0.0,0.0,0.0,25.0,5.0,20.0,80.00%,0.0
Chaveiro ímã 10,10034,Outros,23.0,230.0,0.0,0.0,0.0,230.0,115.0,115.0,50.00%,0.0
Ecobag,10025,Bolsas,7.0,175.0,0.0,0.0,25.0,150.0,70.0,80.0,53.33%,0.0
Embalagem presente 5,10036,Outros,1.0,5.0,0.0,0.0,0.0,5.0,2.0,3.0,60.00%,0.0
Macaquinho,10009,Roupas,1.0,50.0,0.0,0.0,0.0,50.0,18.0,32.0,64.00%,0.0
Necessaire,10026,Bolsas,11.0,220.0,0.0,0.0,0.0,220.0,88.0,132.0,60.00%,0.0
Oxe conjunto,10012,Roupas,1.0,80.0,0.0,0.0,0.0,80.0,37.5,42.5,53.13%,0.0
Placa,10019,Outros,7.0,140.0,0.0,0.0,0.0,140.0,42.0,98.0,70.00%,0.0
Placa kit 100,10038,Outros,4.0,400.0,0.0,0.0,0.0,400.0,144.0,256.0,64.00%,0.0
Porta lingerie,10027,Bolsas,2.0,50.0,0.0,0.0,0.0,50.0,17.0,33.0,66.00%,0.0
Regional adulto,10014,Roupas,10.0,550.0,0.0,0.0,0.0,550.0,245.0,305.0,55.45%,0.0
Vestido algodão,10018,Roupas,1.0,60.0,0.0,0.0,0.0,60.0,21.0,39.0,65.00%,0.0
