Item,SKU,Categoria,Itens vendidos,Vendas brutas,Itens reembolsados,Reembolsos,Descontos,Vendas líquidas,Custo das mercadorias,Lucro bruto,Margem,Impostos
Bolsa 55,10020,Bolsas,2.0,110.0,0.0,0.0,0.0,110.0,44.0,66.0,60.00%,0.0
Bolsa kit 125,10039,Bolsas,3.0,375.0,0.0,0.0,0.0,375.0,165.0,210.0,56.00%,0.0
Caneca Ágata 20,10028,Outros,2.0,40.0,0.0,0.0,0.0,40.0,20.0,20.0,50.00%,0.0
Canga elastano,10005,Roupas,2.0,110.0,0.0,0.0,0.0,110.0,40.0,70.0,63.64%,0.0
Carteira alça,10023,Bolsas,1.0,15.0,0.0,0.0,0.0,15.0,5.0,10.0,66.67%,0.0
Chaveiro ímã 10,10034,Outros,13.0,130.0,0.0,0.0,0.0,130.0,65.0,65.0,50.00%,0.0
Color 60,10007,Roupas,2.0,120.0,0.0,0.0,0.0,120.0,45.0,75.0,62.50%,0.0
Ecobag,10025,Bolsas,3.0,75.0,0.0,0.0,0.0,75.0,30.0,45.0,60.00%,0.0
Imã 15,10035,Outros,1.0,15.0,0.0,0.0,0.0,15.0,5.0,10.0,66.67%,0.0
Necessaire,10026,Bolsas,11.0,220.0,0.0,0.0,0.0,220.0,88.0,132.0,60.00%,0.0
Placa,10019,Outros,5.0,100.0,0.0,0.0,0.0,100.0,30.0,70.0,70.00%,0.0
Placa kit 100,10038,Outros,1.0,100.0,0.0,0.0,0.0,100.0,36.0,64.0,64.00%,0.0
Regional adulto,10014,Roupas,9.0,495.0,0.0,0.0,0.0,495.0,220.5,274.5,55.45%,0.0
Saída praia,10016,Roupas,5.0,325.0,0.0,0.0,0.0,325.0,146.5,178.5,54.92%,0.0
Vestido algodão,10018,Roupas,2.0,120.0,0.0,0.0,0.0,120.0,42.0,78.0,65.00%,0.0
