Item,SKU,Categoria,Itens vendidos,Vendas brutas,Itens reembolsados,Reembolsos,Descontos,Vendas líquidas,Custo das mercadorias,Lucro bruto,Margem,Impostos
Body,10003,Roupas,9.0,315.0,0.0,0.0,0.0,315.0,130.5,184.5,58.57%,0.0
Bolsa 55,10020,Bolsas,2.0,110.0,0.0,0.0,0.0,110.0,44.0,66.0,60.00%,0.0
Bolsa kit 125,10039,Bolsas,3.0,375.0,0.0,0.0,0.0,375.0,165.0,210.0,56.00%,0.0
Bolsinha 12,10021,Bolsas,1.0,12.0,0.0,0.0,0.0,12.0,6.0,6.0,50.00%,0.0
Boneca,10032,Outros,2.0,70.0,0.0,0.0,0.0,70.0,26.0,44.0,62.86%,0.0
Boneca oxe,10040,Sem categoria,2.0,100.0,0.0,0.0,0.0,100.0,52.0,48.0,48.00%,0.0
Caneca louça,10030,Outros,9.0,315.0,0.0,0.0,0.0,315.0,130.5,184.5,58.57%,0.0
Caneca Ágata 20,10028,Outros,4.0,80.0,0.0,0.0,0.0,80.0,40.0,40.0,50.00%,0.0
Caneca Ágata 30,10029,Outros,1.0,30.0,0.0,0.0,0.0,30.0,15.0,15.0,50.00%,0.0
Canga elastano,10005,Roupas,4.0,220.0,0.0,0.0,0.0,220.0,80.0,140.0,63.64%,0.0
Carteira alça,10023,Bolsas,4.0,60.0,0.0,0.0,0.0,60.0,20.0,40.0,66.67%,0.0
Chaveiro 5,10033,Outros,4.0,20.0,0.0,0.0,0.0,20.0,4.0,16.0,80.00%,0.0
Chaveiro ímã 10,10034,Outros,56.0,560.0,0.0,0.0,0.0,560.0,280.0,280.0,50.00%,0.0
Color 60,10007,Roupas,4.0,240.0,0.0,0.0,0.0,240.0,90.0,150.0,62.50%,0.0
Color XG 65,10008,Roupas,1.0,65.0,0.0,0.0,0.0,65.0,25.5,39.5,60.77%,0.0
Ecobag,10025,Bolsas,4.0,100.0,0.0,0.0,0.0,100.0,40.0,60.0,60.00%,0.0
Necessaire,10026,Bolsas,18.0,360.0,0.0,0.0,0.0,360.0,144.0,216.0,60.00%,0.0
Oxe conjunto,10012,Roupas,2.0,160.0,0.0,0.0,0.0,160.0,75.0,85.0,53.13%,0.0
Oxe infantil,10011,Roupas,1.0,55.0,0.0,0.0,0.0,55.0,20.9,34.1,62.00%,0.0
Placa,10019,Outros,17.0,340.0,0.0,0.0,0.0,340.0,102.0,238.0,70.00%,0.0
Placa kit 100,10038,Outros,3.0,300.0,0.0,0.0,0.0,300.0,108.0,192.0,64.00%,0.0
Regional adulto,10014,Roupas,29.0,1595.0,0.0,0.0,0.0,1595.0,710.5,884.5,55.45%,0.0
Regional infantil,10015,Roupas,3.0,135.0,0.0,0.0,0.0,135.0,66.0,69.0,51.11%,0.0
Saída praia,10016,Roupas,5.0,325.0,0.0,0.0,0.0,325.0,146.5,178.5,54.92%,0.0
Vestido algodão,10018,Roupas,1.0,60.0,0.0,0.0,0.0,60.0,21.0,39.0,65.00%,0.0
