Item,SKU,Categoria,Itens vendidos,Vendas brutas,Itens reembolsados,Reembolsos,Descontos,Vendas líquidas,Custo das mercadorias,Lucro bruto,Margem,Impostos
Body,10003,Roupas,1.0,35.0,0.0,0.0,0.0,35.0,14.5,20.5,58.57%,0.0
Bolsa kit 125,10039,Bolsas,2.0,250.0,0.0,0.0,0.0,250.0,110.0,140.0,56.00%,0.0
Bolsinha 15,10022,Bolsas,3.0,60.0,0.0,0.0,0.0,60.0,24.0,36.0,60.00%,0.0
Caneca louça,10030,Outros,4.0,140.0,0.0,0.0,0.0,140.0,58.0,82.0,58.57%,0.0
Caneca Ágata 20,10028,Outros,6.0,120.0,0.0,0.0,0.0,120.0,60.0,60.0,50.00%,0.0
Caneca Ágata 30,10029,Outros,3.0,90.0,0.0,0.0,0.0,90.0,45.0,45.0,50.00%,0.0
Canga elastano,10005,Roupas,3.0,165.0,0.0,0.0,0.0,165.0,60.0,105.0,63.64%,0.0
Canga viscose,10006,Roupas,2.0,130.0,0.0,0.0,0.0,130.0,50.0,80.0,61.54%,0.0
Carteira alça,10023,Bolsas,2.0,30.0,0.0,0.0,0.0,30.0,10.0,20.0,66.67%,0.0
Chaveiro 5,10033,Outros,2.0,10.0,0.0,0.0,0.0,10.0,2.0,8.0,80.00%,0.0
Chaveiro ímã 10,10034,Outros,32.0,320.0,0.0,0.0,0.0,320.0,160.0,160.0,50.00%,0.0
Color 60,10007,Roupas,1.0,60.0,0.0,0.0,0.0,60.0,22.5,37.5,62.50%,0.0
Ecobag,10025,Bolsas,15.0,375.0,0.0,0.0,0.0,375.0,150.0,225.0,60.00%,0.0
Embalagem presente 5,10036,Outros,1.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.00%,0.0
Imã 15,10035,Outros,5.0,75.0,0.0,0.0,0.0,75.0,75.0,0.0,0.00%,0.0
Necessaire,10026,Bolsas,15.0,300.0,0.0,0.0,0.0,300.0,300.0,0.0,0.00%,0.0
Placa,10019,Outros,8.0,160.0,0.0,0.0,0.0,160.0,48.0,112.0,70.00%,0.0
Placa kit 100,10038,Outros,4.0,400.0,0.0,0.0,0.0,400.0,144.0,256.0,64.00%,0.0
Regional adulto,10014,Roupas,28.0,1540.0,0.0,0.0,0.0,1540.0,686.0,854.0,55.45%,0.0
Saída praia,10016,Roupas,4.0,260.0,0.0,0.0,0.0,260.0,117.2,142.8,54.92%,0.0
Vestido algodão,10018,Roupas,2.0,120.0,0.0,0.0,0.0,120.0,42.0,78.0,65.00%,0.0
