Item,SKU,Categoria,Itens vendidos,Vendas brutas,Itens reembolsados,Reembolsos,Descontos,Vendas líquidas,Custo das mercadorias,Lucro bruto,Margem,Impostos
Bata adulto,10000,Outros,5.0,300.0,0,0,0,300.0,198.0,102.0,,0
Bata infantil,10001,Outros,4.0,170.0,0,0,0,170.0,116.0,54.0,,0
Body,10003,Outros,20.0,700.0,0,0,0,700.0,372.0,328.0,,0
Body conjunto,10004,Outros,2.0,120.0,0,0,0,120.0,55.0,65.0,,0
Bolsa 55,10020,Outros,7.0,385.0,0,0,0,385.0,154.0,231.0,,0
Bolsa kit 125,10039,Outros,39.0,4875.0,0,0,0,4875.0,3055.0,1820.0,,0
Bolsinha 15,10021,Outros,6.0,90.0,0,0,0,90.0,36.0,54.0,,0
Bolsinha 20,10022,Outros,3.0,60.0,0,0,0,60.0,48.0,12.0,,0
Boneca,10032,Outros,6.0,180.0,0,0,0,180.0,129.0,51.0,,0
Caneca louça,10030,Outros,56.0,1960.0,0,0,0,1960.0,1201.5,758.5,,0
Caneca Ágata 20,10028,Outros,24.0,480.0,0,0,0,480.0,350.0,130.0,,0
Caneca Ágata 30,10029,Outros,2.0,60.0,0,0,0,60.0,45.0,15.0,,0
Canga elastano,10005,Outros,40.0,2200.0,0,0,0,2200.0,1675.0,525.0,,0
Canga viscose,10006,Outros,15.0,975.0,0,0,0,975.0,535.0,440.0,,0
Carteira alça,10023,Outros,69.0,1035.0,0,0,0,1035.0,615.0,420.0,,0
Chaveiro 5,10033,Outros,16.0,80.0,0,0,0,80.0,36.0,44.0,,0
Chaveiro ímã 10,10034,Outros,347.0,3470.0,0,0,0,3470.0,2305.0,1165.0,,0
Color 60,10007,Outros,12.0,720.0,0,0,0,720.0,382.5,337.5,,0
Color XG 65,10008,Outros,3.0,195.0,0,0,0,195.0,116.0,79.0,,0
Ecobag,10025,Outros,60.0,1500.0,0,0,0,1500.0,825.0,675.0,,0
Embalagem presente 10,10037,Outros,5.0,50.0,0,0,0,50.0,50.0,0.0,,0
Embalagem presente 5,10036,Outros,11.0,55.0,0,0,0,55.0,55.0,0.0,,0
Imã 15,10035,Outros,41.0,615.0,0,0,0,615.0,615.0,0.0,,0
Macaquinho,10009,Outros,7.0,320.0,0,0,0,320.0,288.0,32.0,,0
Necessaire,10026,Outros,150.0,2980.0,0,0,0,2980.0,2980.0,0.0,,0
Oxe adulto,10010,Outros,8.0,480.0,0,0,0,480.0,241.65,238.35,,0
Oxe conjunto,10012,Outros,10.0,780.0,0,0,0,780.0,505.0,275.0,,0
Oxe infantil,10011,Outros,3.0,165.0,0,0,0,165.0,130.9,34.1,,0
Oxe XG,10013,Outros,2.0,130.0,0,0,0,130.0,63.8,66.2,,0
Placa,10019,Outros,159.0,3180.0,0,0,0,3180.0,1444.0,1736.0,,0
Placa kit 100,10038,Outros,19.0,1900.0,0,0,0,1900.0,940.0,960.0,,0
Porta lingerie,10027,Outros,3.0,75.0,0,0,0,75.0,25.5,49.5,,0
Regional adulto,10014,Outros,181.0,9955.0,0,0,0,9955.0,6417.0,3538.0,,0
Regional infantil,10015,Outros,24.0,1080.0,0,0,0,1080.0,804.0,276.0,,0
Saída praia,10016,Outros,9.0,585.0,0,0,0,585.0,442.2,142.8,,0
Sereia,10017,Outros,1.0,180.0,0,0,0,180.0,180.0,0.0,,0
Vestido algodão,10018,Outros,6.0,350.0,0,0,0,350.0,194.0,156.0,,0
