Item,SKU,Categoria,Itens vendidos,Vendas brutas,Itens reembolsados,Reembolsos,Descontos,Vendas líquidas,Custo das mercadorias,Lucro bruto,Margem,Impostos
Bata adulto,10000,Outros,0.7141829186281102,42.85,0,0,0,42.85,18.57,24.28,,0
Body,10003,Outros,1.4283658372562205,49.99,0,0,0,49.99,20.71,29.28,,0
Bolsa 55,10020,Outros,0.7141829186281102,39.28,0,0,0,39.28,15.71,23.57,,0
Bolsa kit 125,10039,Outros,1.4283658372562205,178.55,0,0,0,178.55,78.56,99.99,,0
Caneca louça,10030,Outros,3.570914593140551,124.98,0,0,0,124.98,51.78,73.2,,0
Caneca Ágata 20,10028,Outros,3.570914593140551,71.42,0,0,0,71.42,35.71,35.71,,0
Canga elastano,10005,Outros,2.142548755884331,117.84,0,0,0,117.84,42.85,74.99,,0
Canga viscose,10006,Outros,1.4283658372562205,92.84,0,0,0,92.84,35.71,57.13,,0
Chaveiro ímã 10,10034,Outros,32.13823133826496,321.38,0,0,0,321.38,160.69,160.69,,0
Color XG 65,10008,Outros,0.7141829186281102,46.42,0,0,0,46.42,18.21,28.21,,0
Embalagem presente 5,10036,Outros,1.4283658372562205,7.14,0,0,0,7.14,2.86,4.28,,0
Imã 15,10035,Outros,3.570914593140551,53.56,0,0,0,53.56,17.85,35.71,,0
Necessaire,10026,Outros,5.713463349024882,114.27,0,0,0,114.27,45.71,68.56,,0
Oxe conjunto,10012,Outros,0.7141829186281102,57.13,0,0,0,57.13,26.78,30.35,,0
Placa,10019,Outros,2.856731674512441,57.13,0,0,0,57.13,17.14,39.99,,0
Regional adulto,10014,Outros,7.141829186281102,392.8,0,0,0,392.8,174.97,217.83,,0
Regional infantil,10015,Outros,4.285097511768662,192.83,0,0,0,192.83,94.27,98.56,,0
Sereia,10017,Outros,0.7141829186281102,128.55,0,0,0,128.55,60.71,67.84,,0
Vestido algodão,10018,Outros,0.7141829186281102,42.85,0,0,0,42.85,15.0,27.85,,0
Bata adulto,10000,Outros,1.4283658372562205,85.7,0,0,0,85.7,37.14,48.56,,0
Body,10003,Outros,2.142548755884331,74.99,0,0,0,74.99,31.07,43.92,,0
Bolsa kit 125,10039,Outros,1.4283658372562205,178.55,0,0,0,178.55,78.56,99.99,,0
Caneca louça,10030,Outros,1.4283658372562205,49.99,0,0,0,49.99,20.71,29.28,,0
Carteira alça,10023,Outros,3.570914593140551,53.56,0,0,0,53.56,17.85,35.71,,0
Chaveiro 5,10033,Outros,0.7141829186281102,3.57,0,0,0,3.57,0.71,2.86,,0
Chaveiro ímã 10,10034,Outros,5.713463349024882,49.99,0,0,0,49.99,28.57,21.42,,0
Color 60,10007,Outros,2.142548755884331,128.55,0,0,0,128.55,48.21,80.34,,0
Imã 15,10035,Outros,2.142548755884331,32.14,0,0,0,32.14,10.71,21.43,,0
Necessaire,10026,Outros,0.7141829186281102,14.28,0,0,0,14.28,5.71,8.57,,0
Placa,10019,Outros,7.141829186281102,142.84,0,0,0,142.84,42.85,99.99,,0
Regional adulto,10014,Outros,14.997841291190316,824.88,0,0,0,824.88,367.45,457.43,,0
Saída praia,10016,Outros,0.7141829186281102,46.42,0,0,0,46.42,20.93,25.49,,0
Bolsa 55,10020,Outros,0.7141829186281102,35.71,0,0,0,35.71,15.71,20.0,,0
Bolsa kit 125,10039,Outros,2.856731674512441,357.09,0,0,0,357.09,157.12,199.97,,0
Caneca louça,10030,Outros,2.856731674512441,99.99,0,0,0,99.99,41.42,58.57,,0
Caneca Ágata 20,10028,Outros,1.4283658372562205,28.57,0,0,0,28.57,14.28,14.29,,0
Caneca Ágata 30,10029,Outros,2.142548755884331,64.28,0,0,0,64.28,32.14,32.14,,0
Chaveiro ímã 10,10034,Outros,8.570195023537323,85.7,0,0,0,85.7,42.85,42.85,,0
Color 60,10007,Outros,1.4283658372562205,83.32,0,0,0,83.32,32.14,51.18,,0
Imã 15,10035,Outros,1.4283658372562205,20.23,0,0,0,20.23,7.14,13.09,,0
Necessaire,10026,Outros,2.856731674512441,57.13,0,0,0,57.13,22.85,34.28,,0
Placa,10019,Outros,3.570914593140551,71.42,0,0,0,71.42,21.43,49.99,,0
Placa kit 100,10038,Outros,2.856731674512441,285.67,0,0,0,285.67,102.84,182.83,,0
Porta lingerie,10027,Outros,1.4283658372562205,35.71,0,0,0,35.71,12.14,23.57,,0
Regional adulto,10014,Outros,4.285097511768662,235.68,0,0,0,235.68,104.98,130.7,,0
Regional infantil,10015,Outros,0.7141829186281102,32.14,0,0,0,32.14,15.71,16.43,,0
